位置,手牌,FullEV,DLEv,DLEv偏差%
OOP,5c4c,5.52,5.20,-5.8%
OOP,5d4d,5.79,5.83,+0.7%
OOP,5h4h,5.79,5.83,+0.7%
OOP,5s4s,5.79,5.83,+0.7%
OOP,6d5d,6.87,6.51,-5.2%
OOP,6h5h,6.87,6.51,-5.2%
OOP,6s5s,6.87,6.51,-5.2%
OOP,6c5c,7.03,5.73,-18.5%
OOP,7d5d,7.69,6.91,-10.1%
OOP,7h5h,7.69,6.91,-10.1%
OOP,7s5s,7.69,6.91,-10.1%
OOP,7c5c,7.82,6.10,-22.0%
OOP,7d6d,8.80,7.92,-10.0%
OOP,7h6h,8.80,7.92,-10.0%
OOP,7s6s,8.80,7.92,-10.0%
OOP,9d6d,9.50,7.57,-20.3%
OOP,9h6h,9.50,7.57,-20.3%
OOP,9s6s,9.50,7.57,-20.3%
OOP,7c6c,9.87,6.99,-29.2%
OOP,9c6c,10.61,6.77,-36.2%
OOP,9d7d,10.63,8.78,-17.4%
OOP,9h7h,10.63,8.78,-17.4%
OOP,9s7s,10.63,8.78,-17.4%
OOP,Ad4d,11.22,17.31,+54.2%
OOP,Ah4h,11.22,17.31,+54.2%
OOP,As4s,11.22,17.31,+54.2%
OOP,Ad5d,11.28,17.32,+53.5%
OOP,Ah5h,11.28,17.32,+53.5%
OOP,As5s,11.28,17.32,+53.5%
OOP,9c7c,11.76,7.67,-34.8%
OOP,Ac4c,12.01,16.96,+41.1%
OOP,Ac5c,12.07,16.90,+40.1%
OOP,Kd9d,12.99,10.67,-17.9%
OOP,Kh9h,12.99,10.67,-17.9%
OOP,Ks9s,12.99,10.67,-17.9%
OOP,JdTd,13.30,10.70,-19.6%
OOP,JhTh,13.30,10.70,-19.6%
OOP,JsTs,13.30,10.70,-19.6%
OOP,KdTd,13.47,11.08,-17.8%
OOP,KhTh,13.47,11.08,-17.8%
OOP,KsTs,13.47,11.08,-17.8%
OOP,KdJd,13.86,11.92,-14.0%
OOP,KhJh,13.86,11.92,-14.0%
OOP,KsJs,13.86,11.92,-14.0%
OOP,Ad9d,13.87,19.32,+39.3%
OOP,Ah9h,13.87,19.32,+39.3%
OOP,As9s,13.87,19.32,+39.3%
OOP,Kc9c,14.04,10.48,-25.4%
OOP,KhQd,14.23,12.77,-10.2%
OOP,KsQd,14.23,12.77,-10.2%
OOP,KdQh,14.23,12.77,-10.2%
OOP,KsQh,14.23,12.77,-10.2%
OOP,KdQs,14.23,12.77,-10.2%
OOP,KhQs,14.23,12.77,-10.2%
OOP,QdTd,14.25,11.13,-21.9%
OOP,QhTh,14.25,11.13,-21.9%
OOP,QsTs,14.25,11.13,-21.9%
OOP,KcTc,14.27,10.90,-23.6%
OOP,JcTc,14.37,10.04,-30.1%
OOP,KdQd,14.77,13.59,-8.0%
OOP,KhQh,14.77,13.59,-8.0%
OOP,KsQs,14.77,13.59,-8.0%
OOP,AdTd,14.91,20.63,+38.4%
OOP,AhTh,14.91,20.63,+38.4%
OOP,AsTs,14.91,20.63,+38.4%
OOP,KcQd,15.09,12.74,-15.6%
OOP,KcQh,15.09,12.74,-15.6%
OOP,KcQs,15.09,12.74,-15.6%
OOP,KcJc,15.11,11.53,-23.7%
OOP,KdQc,15.22,12.79,-15.9%
OOP,KhQc,15.22,12.79,-15.9%
OOP,KsQc,15.22,12.79,-15.9%
OOP,QdJd,15.40,11.65,-24.4%
OOP,QhJh,15.40,11.65,-24.4%
OOP,QsJs,15.40,11.65,-24.4%
OOP,QcTc,15.55,10.17,-34.6%
OOP,Ac9c,15.81,19.17,+21.2%
OOP,AhJd,15.82,22.50,+42.2%
OOP,AsJd,15.82,22.50,+42.2%
OOP,AdJh,15.82,22.50,+42.2%
OOP,AsJh,15.82,22.50,+42.2%
OOP,AdJs,15.82,22.50,+42.2%
OOP,AhJs,15.82,22.50,+42.2%
OOP,KcQc,16.19,12.88,-20.4%
OOP,AcTc,16.41,20.64,+25.8%
OOP,AdJd,16.44,23.35,+42.1%
OOP,AhJh,16.44,23.35,+42.1%
OOP,AsJs,16.44,23.35,+42.1%
OOP,AdJc,16.52,23.04,+39.5%
OOP,AhJc,16.52,23.04,+39.5%
OOP,AsJc,16.52,23.04,+39.5%
OOP,QcJc,16.94,11.20,-33.9%
OOP,AcJd,17.17,23.06,+34.3%
OOP,AcJh,17.17,23.06,+34.3%
OOP,AcJs,17.17,23.06,+34.3%
OOP,AcJc,17.90,23.64,+32.1%
OOP,AhQd,19.44,27.28,+40.3%
OOP,AsQd,19.44,27.28,+40.3%
OOP,AdQh,19.44,27.28,+40.3%
OOP,AsQh,19.44,27.28,+40.3%
OOP,AdQs,19.44,27.28,+40.3%
OOP,AhQs,19.44,27.28,+40.3%
OOP,AdQd,19.92,27.78,+39.5%
OOP,AhQh,19.92,27.78,+39.5%
OOP,AsQs,19.92,27.78,+39.5%
OOP,AdQc,20.24,27.87,+37.7%
OOP,AhQc,20.24,27.87,+37.7%
OOP,AsQc,20.24,27.87,+37.7%
OOP,AcQd,20.74,27.79,+34.0%
OOP,AcQh,20.74,27.79,+34.0%
OOP,AcQs,20.74,27.79,+34.0%
OOP,AcQc,21.53,28.49,+32.3%
OOP,AhKd,23.82,32.43,+36.1%
OOP,AsKd,23.82,32.43,+36.1%
OOP,AdKh,23.82,32.43,+36.1%
OOP,AsKh,23.82,32.43,+36.1%
OOP,AdKs,23.82,32.43,+36.1%
OOP,AhKs,23.82,32.43,+36.1%
OOP,AdKd,24.04,32.66,+35.8%
OOP,AhKh,24.04,32.66,+35.8%
OOP,AsKs,24.04,32.66,+35.8%
