位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,5c4c,桶7:纯空气,5.32,5.16,4.25,-3.0%,-20.1%
OOP,5d4d,桶6:弱听牌,5.75,5.60,5.14,-2.6%,-10.7%
OOP,5h4h,桶6:弱听牌,5.75,5.60,5.14,-2.6%,-10.7%
OOP,5s4s,桶6:弱听牌,5.75,5.60,5.14,-2.6%,-10.7%
OOP,6d5d,桶6:弱听牌,7.01,6.09,5.58,-13.2%,-20.4%
OOP,6h5h,桶6:弱听牌,7.01,6.09,5.58,-13.2%,-20.4%
OOP,6s5s,桶6:弱听牌,7.01,6.09,5.58,-13.2%,-20.4%
OOP,6c5c,桶7:纯空气,7.05,5.36,4.42,-23.9%,-37.3%
OOP,7c5c,桶7:纯空气,7.98,5.69,4.69,-28.6%,-41.2%
OOP,7d5d,桶6:弱听牌,8.14,6.49,5.95,-20.3%,-26.9%
OOP,7h5h,桶6:弱听牌,8.14,6.49,5.95,-20.3%,-26.9%
OOP,7s5s,桶6:弱听牌,8.14,6.49,5.95,-20.3%,-26.9%
OOP,7d6d,桶6:弱听牌,9.53,7.36,6.75,-22.8%,-29.2%
OOP,7h6h,桶6:弱听牌,9.53,7.36,6.75,-22.8%,-29.2%
OOP,7s6s,桶6:弱听牌,9.53,7.36,6.75,-22.8%,-29.2%
OOP,9d6d,桶6:弱听牌,10.03,7.22,6.62,-28.0%,-34.0%
OOP,9h6h,桶6:弱听牌,10.03,7.22,6.62,-28.0%,-34.0%
OOP,9s6s,桶6:弱听牌,10.03,7.22,6.62,-28.0%,-34.0%
OOP,7c6c,桶7:纯空气,10.08,6.31,5.20,-37.4%,-48.5%
OOP,9c6c,桶7:纯空气,10.65,6.17,5.08,-42.1%,-52.3%
OOP,Ad4d,桶6:弱听牌,10.94,17.83,16.35,+62.9%,+49.4%
OOP,Ah4h,桶6:弱听牌,10.94,17.83,16.35,+62.9%,+49.4%
OOP,As4s,桶6:弱听牌,10.94,17.83,16.35,+62.9%,+49.4%
OOP,Ad5d,桶6:弱听牌,11.06,17.96,16.47,+62.3%,+48.9%
OOP,Ah5h,桶6:弱听牌,11.06,17.96,16.47,+62.3%,+48.9%
OOP,As5s,桶6:弱听牌,11.06,17.96,16.47,+62.3%,+48.9%
OOP,Ac4c,桶7:纯空气,11.38,17.02,14.03,+49.6%,+23.3%
OOP,9d7d,桶6:弱听牌,11.38,8.16,7.48,-28.3%,-34.2%
OOP,9h7h,桶6:弱听牌,11.38,8.16,7.48,-28.3%,-34.2%
OOP,9s7s,桶6:弱听牌,11.38,8.16,7.48,-28.3%,-34.2%
OOP,Ac5c,桶7:纯空气,11.47,17.12,14.11,+49.3%,+23.0%
OOP,9c7c,桶7:纯空气,11.88,6.71,5.53,-43.5%,-53.4%
OOP,JdTd,桶6:弱听牌,13.00,9.12,8.37,-29.8%,-35.6%
OOP,JhTh,桶6:弱听牌,13.00,9.12,8.37,-29.8%,-35.6%
OOP,JsTs,桶6:弱听牌,13.00,9.12,8.37,-29.8%,-35.6%
OOP,Kd9d,桶6:弱听牌,13.44,10.66,9.77,-20.7%,-27.3%
OOP,Kh9h,桶6:弱听牌,13.44,10.66,9.77,-20.7%,-27.3%
OOP,Ks9s,桶6:弱听牌,13.44,10.66,9.77,-20.7%,-27.3%
OOP,JcTc,桶7:纯空气,13.55,8.18,6.74,-39.6%,-50.2%
OOP,KdTd,桶6:弱听牌,13.55,11.20,10.27,-17.4%,-24.2%
OOP,KhTh,桶6:弱听牌,13.55,11.20,10.27,-17.4%,-24.2%
OOP,KsTs,桶6:弱听牌,13.55,11.20,10.27,-17.4%,-24.2%
OOP,QdTd,桶6:弱听牌,13.76,11.25,10.31,-18.3%,-25.0%
OOP,QhTh,桶6:弱听牌,13.76,11.25,10.31,-18.3%,-25.0%
OOP,QsTs,桶6:弱听牌,13.76,11.25,10.31,-18.3%,-25.0%
OOP,KhQd,桶7:纯空气,13.86,12.74,10.50,-8.1%,-24.3%
OOP,KsQd,桶7:纯空气,13.86,12.74,10.50,-8.1%,-24.3%
OOP,KdQh,桶7:纯空气,13.86,12.74,10.50,-8.1%,-24.3%
OOP,KsQh,桶7:纯空气,13.86,12.74,10.50,-8.1%,-24.3%
OOP,KdQs,桶7:纯空气,13.86,12.74,10.50,-8.1%,-24.3%
OOP,KhQs,桶7:纯空气,13.86,12.74,10.50,-8.1%,-24.3%
OOP,KdJd,桶6:弱听牌,13.88,11.99,11.00,-13.6%,-20.8%
OOP,KhJh,桶6:弱听牌,13.88,11.99,11.00,-13.6%,-20.8%
OOP,KsJs,桶6:弱听牌,13.88,11.99,11.00,-13.6%,-20.8%
OOP,Ad9d,桶6:弱听牌,13.98,19.98,18.32,+42.9%,+31.0%
OOP,Ah9h,桶6:弱听牌,13.98,19.98,18.32,+42.9%,+31.0%
OOP,As9s,桶6:弱听牌,13.98,19.98,18.32,+42.9%,+31.0%
OOP,KcTc,桶7:纯空气,14.07,10.56,8.70,-25.0%,-38.2%
OOP,QcTc,桶7:纯空气,14.30,9.82,8.09,-31.3%,-43.4%
OOP,Kc9c,桶7:纯空气,14.31,10.15,8.36,-29.1%,-41.6%
