位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,Ac4c,桶7:纯空气,4.92,7.47,5.45,+51.7%,+10.7%
OOP,Ad4d,桶7:纯空气,4.92,7.47,5.45,+51.7%,+10.7%
OOP,Ah4h,桶7:纯空气,4.92,7.47,5.45,+51.7%,+10.7%
OOP,Ac5c,桶7:纯空气,5.23,7.85,5.73,+50.1%,+9.6%
OOP,Ad5d,桶7:纯空气,5.23,7.85,5.73,+50.1%,+9.6%
OOP,Ah5h,桶7:纯空气,5.23,7.85,5.73,+50.1%,+9.6%
OOP,KcJc,桶7:纯空气,5.77,6.13,4.47,+6.1%,-22.5%
OOP,KdJd,桶7:纯空气,5.77,6.13,4.47,+6.1%,-22.5%
OOP,KhJh,桶7:纯空气,5.77,6.13,4.47,+6.1%,-22.5%
OOP,AcTc,桶7:纯空气,5.77,9.79,7.15,+69.5%,+23.7%
OOP,AdTd,桶7:纯空气,5.77,9.79,7.15,+69.5%,+23.7%
OOP,AhTh,桶7:纯空气,5.77,9.79,7.15,+69.5%,+23.7%
OOP,KdQc,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KhQc,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KcQd,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KhQd,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KcQh,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KdQh,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KcQc,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KdQd,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,KhQh,桶7:纯空气,5.94,6.99,5.10,+17.8%,-14.0%
OOP,Ac9c,桶7:纯空气,5.94,9.11,6.65,+53.3%,+11.9%
OOP,Ad9d,桶7:纯空气,5.94,9.11,6.65,+53.3%,+11.9%
OOP,Ah9h,桶7:纯空气,5.94,9.11,6.65,+53.3%,+11.9%
OOP,KcTc,桶7:纯空气,5.98,6.09,4.45,+1.8%,-25.7%
OOP,KdTd,桶7:纯空气,5.98,6.09,4.45,+1.8%,-25.7%
OOP,KhTh,桶7:纯空气,5.98,6.09,4.45,+1.8%,-25.7%
OOP,AdJc,桶7:纯空气,6.07,10.57,7.72,+74.1%,+27.1%
OOP,AhJc,桶7:纯空气,6.07,10.57,7.72,+74.1%,+27.1%
