位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,6c5c,桶7:纯空气,2.03,2.50,2.12,+23.1%,+4.6%
OOP,6d5d,桶7:纯空气,2.03,2.50,2.12,+23.1%,+4.6%
OOP,6h5h,桶7:纯空气,2.03,2.50,2.12,+23.1%,+4.6%
OOP,7c6c,桶7:纯空气,2.43,3.10,2.64,+27.4%,+8.3%
OOP,7d6d,桶7:纯空气,2.43,3.10,2.64,+27.4%,+8.3%
OOP,7h6h,桶7:纯空气,2.43,3.10,2.64,+27.4%,+8.3%
OOP,7c5c,桶7:纯空气,2.69,3.08,2.62,+14.7%,-2.5%
OOP,7d5d,桶7:纯空气,2.69,3.08,2.62,+14.7%,-2.5%
OOP,7h5h,桶7:纯空气,2.69,3.08,2.62,+14.7%,-2.5%
OOP,8c6c,桶7:纯空气,3.02,3.70,3.15,+22.4%,+4.1%
OOP,8d6d,桶7:纯空气,3.02,3.70,3.15,+22.4%,+4.1%
OOP,8h6h,桶7:纯空气,3.02,3.70,3.15,+22.4%,+4.1%
OOP,8c5c,桶7:纯空气,3.15,3.61,3.07,+14.6%,-2.6%
OOP,8d5d,桶7:纯空气,3.15,3.61,3.07,+14.6%,-2.6%
OOP,8h5h,桶7:纯空气,3.15,3.61,3.07,+14.6%,-2.6%
OOP,5c4c,桶7:纯空气,3.33,2.84,2.41,-14.7%,-27.5%
OOP,5d4d,桶7:纯空气,3.33,2.84,2.41,-14.7%,-27.5%
OOP,5h4h,桶7:纯空气,3.33,2.84,2.41,-14.7%,-27.5%
OOP,6d6c,桶3:中等成牌,4.85,8.92,6.24,+84.1%,+28.7%
OOP,6h6c,桶3:中等成牌,4.85,8.92,6.24,+84.1%,+28.7%
OOP,6h6d,桶3:中等成牌,4.85,8.92,6.24,+84.1%,+28.7%
OOP,7d7c,桶3:中等成牌,5.87,10.44,7.30,+77.8%,+24.3%
OOP,7h7c,桶3:中等成牌,5.87,10.44,7.30,+77.8%,+24.3%
OOP,7h7d,桶3:中等成牌,5.87,10.44,7.30,+77.8%,+24.3%
OOP,8d8c,桶3:中等成牌,6.90,11.80,8.25,+71.0%,+19.5%
OOP,8h8c,桶3:中等成牌,6.90,11.80,8.25,+71.0%,+19.5%
OOP,8h8d,桶3:中等成牌,6.90,11.80,8.25,+71.0%,+19.5%
OOP,8c7c,桶6:弱听牌,7.25,7.96,7.05,+9.8%,-2.7%
OOP,8d7d,桶6:弱听牌,7.25,7.96,7.05,+9.8%,-2.7%
OOP,8h7h,桶6:弱听牌,7.25,7.96,7.05,+9.8%,-2.7%
OOP,KcQc,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KdQd,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KhQh,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KdQc,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KhQc,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KcQd,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KhQd,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KcQh,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KdQh,桶5:常规强听牌,8.88,11.03,9.48,+24.2%,+6.7%
OOP,KcTc,桶6:弱听牌,9.64,10.25,9.08,+6.3%,-5.8%
OOP,KdTd,桶6:弱听牌,9.64,10.25,9.08,+6.3%,-5.8%
OOP,KhTh,桶6:弱听牌,9.64,10.25,9.08,+6.3%,-5.8%
OOP,9c6c,桶3:中等成牌,9.65,14.11,9.86,+46.2%,+2.2%
OOP,9d6d,桶3:中等成牌,9.65,14.11,9.86,+46.2%,+2.2%
OOP,9h6h,桶3:中等成牌,9.65,14.11,9.86,+46.2%,+2.2%
OOP,9c7c,桶3:中等成牌,9.86,14.35,10.03,+45.5%,+1.7%
OOP,9d7d,桶3:中等成牌,9.86,14.35,10.03,+45.5%,+1.7%
OOP,9h7h,桶3:中等成牌,9.86,14.35,10.03,+45.5%,+1.7%
OOP,9c8c,桶3:中等成牌,10.03,14.61,10.21,+45.7%,+1.8%
OOP,9d8d,桶3:中等成牌,10.03,14.61,10.21,+45.7%,+1.8%
OOP,9h8h,桶3:中等成牌,10.03,14.61,10.21,+45.7%,+1.8%
OOP,TdTc,桶3:中等成牌,10.69,16.30,11.39,+52.4%,+6.5%
OOP,ThTc,桶3:中等成牌,10.69,16.30,11.39,+52.4%,+6.5%
OOP,ThTd,桶3:中等成牌,10.69,16.30,11.39,+52.4%,+6.5%
OOP,Kc9c,桶3:中等成牌,10.94,15.76,11.02,+44.1%,+0.7%
OOP,Kd9d,桶3:中等成牌,10.94,15.76,11.02,+44.1%,+0.7%
OOP,Kh9h,桶3:中等成牌,10.94,15.76,11.02,+44.1%,+0.7%
OOP,KdKc,桶3:中等成牌,13.05,18.40,12.86,+41.0%,-1.5%
OOP,KhKc,桶3:中等成牌,13.05,18.40,12.86,+41.0%,-1.5%
OOP,KhKd,桶3:中等成牌,13.05,18.40,12.86,+41.0%,-1.5%
OOP,JcTc,桶3:中等成牌,13.51,18.66,13.04,+38.1%,-3.4%
OOP,JdTd,桶3:中等成牌,13.51,18.66,13.04,+38.1%,-3.4%
OOP,JhTh,桶3:中等成牌,13.51,18.66,13.04,+38.1%,-3.4%
OOP,KcJc,桶3:中等成牌,13.77,18.88,13.19,+37.1%,-4.2%
OOP,KdJd,桶3:中等成牌,13.77,18.88,13.19,+37.1%,-4.2%
OOP,KhJh,桶3:中等成牌,13.77,18.88,13.19,+37.1%,-4.2%
OOP,QdQc,桶3:中等成牌,13.85,19.34,13.52,+39.7%,-2.4%
OOP,QhQc,桶3:中等成牌,13.85,19.34,13.52,+39.7%,-2.4%
OOP,QhQd,桶3:中等成牌,13.85,19.34,13.52,+39.7%,-2.4%
OOP,QcJc,桶3:中等成牌,13.93,19.13,13.37,+37.3%,-4.0%
OOP,QdJd,桶3:中等成牌,13.93,19.13,13.37,+37.3%,-4.0%
