位置,手牌,FullEV,DLEv,DLEv偏差%
OOP,6c5c,1.78,2.40,+35.1%
OOP,6d5d,1.78,2.40,+35.1%
OOP,6h5h,1.78,2.40,+35.1%
OOP,7c6c,2.22,2.96,+33.5%
OOP,7d6d,2.22,2.96,+33.5%
OOP,7h6h,2.22,2.96,+33.5%
OOP,7c5c,2.37,2.98,+25.6%
OOP,7d5d,2.37,2.98,+25.6%
OOP,7h5h,2.37,2.98,+25.6%
OOP,8c6c,2.73,3.61,+32.1%
OOP,8d6d,2.73,3.61,+32.1%
OOP,8h6h,2.73,3.61,+32.1%
OOP,8c5c,2.77,3.56,+28.7%
OOP,8d5d,2.77,3.56,+28.7%
OOP,8h5h,2.77,3.56,+28.7%
OOP,5c4c,2.98,2.74,-8.3%
OOP,5d4d,2.98,2.74,-8.3%
OOP,5h4h,2.98,2.74,-8.3%
OOP,6d6c,4.88,8.87,+81.5%
OOP,6h6c,4.88,8.87,+81.5%
OOP,6h6d,4.88,8.87,+81.5%
OOP,7d7c,5.70,10.17,+78.5%
OOP,7h7c,5.70,10.17,+78.5%
OOP,7h7d,5.70,10.17,+78.5%
OOP,8c7c,6.68,8.84,+32.2%
OOP,8d7d,6.68,8.84,+32.2%
OOP,8h7h,6.68,8.84,+32.2%
OOP,8d8c,6.69,11.55,+72.7%
OOP,8h8c,6.69,11.55,+72.7%
OOP,8h8d,6.69,11.55,+72.7%
OOP,KcQc,8.72,10.94,+25.5%
OOP,KdQd,8.72,10.94,+25.5%
OOP,KhQh,8.72,10.94,+25.5%
OOP,KdQc,8.72,10.94,+25.5%
OOP,KhQc,8.72,10.94,+25.5%
OOP,KcQd,8.72,10.94,+25.5%
OOP,KhQd,8.72,10.94,+25.5%
OOP,KcQh,8.72,10.94,+25.5%
OOP,KdQh,8.72,10.94,+25.5%
OOP,9c6c,9.50,13.84,+45.6%
OOP,9d6d,9.50,13.84,+45.6%
OOP,9h6h,9.50,13.84,+45.6%
OOP,KcTc,9.58,10.38,+8.5%
OOP,KdTd,9.58,10.38,+8.5%
OOP,KhTh,9.58,10.38,+8.5%
OOP,9c7c,9.62,13.98,+45.3%
OOP,9d7d,9.62,13.98,+45.3%
OOP,9h7h,9.62,13.98,+45.3%
OOP,9c8c,9.77,14.27,+46.1%
OOP,9d8d,9.77,14.27,+46.1%
OOP,9h8h,9.77,14.27,+46.1%
OOP,TdTc,10.42,16.40,+57.4%
OOP,ThTc,10.42,16.40,+57.4%
OOP,ThTd,10.42,16.40,+57.4%
OOP,Kc9c,10.70,15.61,+45.9%
OOP,Kd9d,10.70,15.61,+45.9%
OOP,Kh9h,10.70,15.61,+45.9%
OOP,KdKc,12.86,18.39,+42.9%
OOP,KhKc,12.86,18.39,+42.9%
OOP,KhKd,12.86,18.39,+42.9%
OOP,JcTc,13.05,18.97,+45.4%
OOP,JdTd,13.05,18.97,+45.4%
OOP,JhTh,13.05,18.97,+45.4%
OOP,KcJc,13.38,19.08,+42.6%
OOP,KdJd,13.38,19.08,+42.6%
OOP,KhJh,13.38,19.08,+42.6%
OOP,QcJc,13.41,19.54,+45.7%
OOP,QdJd,13.41,19.54,+45.7%
OOP,QhJh,13.41,19.54,+45.7%
OOP,QdQc,13.51,19.50,+44.3%
OOP,QhQc,13.51,19.50,+44.3%
OOP,QhQd,13.51,19.50,+44.3%
OOP,QcTc,16.18,16.45,+1.7%
OOP,QdTd,16.18,16.45,+1.7%
OOP,QhTh,16.18,16.45,+1.7%
OOP,Ac5c,17.03,23.49,+38.0%
OOP,Ad5d,17.03,23.49,+38.0%
OOP,Ah5h,17.03,23.49,+38.0%
OOP,Ac4c,17.19,23.89,+39.0%
OOP,Ad4d,17.19,23.89,+39.0%
OOP,Ah4h,17.19,23.89,+39.0%
OOP,Ac8c,17.73,24.97,+40.8%
OOP,Ad8d,17.73,24.97,+40.8%
OOP,Ah8h,17.73,24.97,+40.8%
OOP,6s6c,19.77,22.52,+13.9%
OOP,6s6d,19.77,22.52,+13.9%
OOP,6s6h,19.77,22.52,+13.9%
OOP,AcTc,20.23,27.61,+36.5%
OOP,AdTd,20.23,27.61,+36.5%
OOP,AhTh,20.23,27.61,+36.5%
OOP,7s7c,21.88,24.11,+10.2%
OOP,7s7d,21.88,24.11,+10.2%
OOP,7s7h,21.88,24.11,+10.2%
OOP,AdQc,22.14,30.81,+39.2%
OOP,AhQc,22.14,30.81,+39.2%
OOP,AcQd,22.14,30.81,+39.2%
OOP,AhQd,22.14,30.81,+39.2%
OOP,AcQh,22.14,30.81,+39.2%
OOP,AdQh,22.14,30.81,+39.2%
OOP,AcQc,22.14,30.81,+39.2%
OOP,AdQd,22.14,30.81,+39.2%
OOP,AhQh,22.14,30.81,+39.2%
OOP,AcKc,23.74,32.36,+36.3%
OOP,AdKd,23.74,32.36,+36.3%
OOP,AhKh,23.74,32.36,+36.3%
OOP,AdKc,23.75,32.33,+36.1%
OOP,AhKc,23.75,32.33,+36.1%
OOP,AcKd,23.75,32.33,+36.1%
OOP,AhKd,23.75,32.33,+36.1%
OOP,AcKh,23.75,32.33,+36.1%
OOP,AdKh,23.75,32.33,+36.1%
OOP,8s8c,24.56,25.92,+5.5%
OOP,8s8d,24.56,25.92,+5.5%
OOP,8s8h,24.56,25.92,+5.5%
OOP,TsTc,31.02,30.37,-2.1%
OOP,TsTd,31.02,30.37,-2.1%
OOP,TsTh,31.02,30.37,-2.1%
OOP,KcQs,33.31,28.30,-15.0%
OOP,KdQs,33.31,28.30,-15.0%
OOP,KhQs,33.31,28.30,-15.0%
OOP,Ac9c,36.98,37.91,+2.5%
OOP,Ad9d,36.98,37.91,+2.5%
OOP,Ah9h,36.98,37.91,+2.5%
OOP,QsQc,39.41,36.23,-8.1%
OOP,QsQd,39.41,36.23,-8.1%
OOP,QsQh,39.41,36.23,-8.1%
OOP,AdJc,42.44,42.80,+0.9%
OOP,AhJc,42.44,42.80,+0.9%
OOP,AcJd,42.44,42.80,+0.9%
OOP,AhJd,42.44,42.80,+0.9%
OOP,AcJh,42.44,42.80,+0.9%
OOP,AdJh,42.44,42.80,+0.9%
OOP,AcJc,42.44,42.80,+0.8%
OOP,AdJd,42.44,42.80,+0.8%
OOP,AhJh,42.44,42.80,+0.8%
OOP,KsQc,43.66,32.98,-24.5%
OOP,KsQd,43.66,32.98,-24.5%
OOP,KsQh,43.66,32.98,-24.5%
OOP,AcQs,47.35,46.07,-2.7%
OOP,AdQs,47.35,46.07,-2.7%
OOP,AhQs,47.35,46.07,-2.7%
OOP,KsKc,48.90,41.95,-14.2%
OOP,KsKd,48.90,41.95,-14.2%
OOP,KsKh,48.90,41.95,-14.2%
OOP,AcKs,59.60,52.54,-11.8%
OOP,AdKs,59.60,52.54,-11.8%
OOP,AhKs,59.60,52.54,-11.8%
OOP,9d9c,61.95,52.77,-14.8%
