位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,8d6d,桶7:纯空气,5.71,6.21,4.60,+8.8%,-19.5%
OOP,8s6s,桶7:纯空气,5.71,6.21,4.60,+8.8%,-19.5%
OOP,9d6d,桶7:纯空气,5.77,6.40,4.74,+10.9%,-18.0%
OOP,9s6s,桶7:纯空气,5.77,6.40,4.74,+10.9%,-18.0%
OOP,8d7d,桶7:纯空气,6.01,6.52,4.82,+8.5%,-19.7%
OOP,8s7s,桶7:纯空气,6.01,6.52,4.82,+8.5%,-19.7%
OOP,9d7d,桶7:纯空气,6.10,6.73,4.98,+10.3%,-18.4%
OOP,9s7s,桶7:纯空气,6.10,6.73,4.98,+10.3%,-18.4%
OOP,7d6d,桶7:纯空气,6.14,6.35,4.70,+3.4%,-23.5%
OOP,7s6s,桶7:纯空气,6.14,6.35,4.70,+3.4%,-23.5%
OOP,Ad4d,桶7:纯空气,6.15,8.62,6.38,+40.2%,+3.7%
OOP,As4s,桶7:纯空气,6.15,8.62,6.38,+40.2%,+3.7%
OOP,9d8d,桶7:纯空气,6.24,6.94,5.13,+11.1%,-17.8%
OOP,9s8s,桶7:纯空气,6.24,6.94,5.13,+11.1%,-17.8%
OOP,Ad8d,桶7:纯空气,6.49,10.14,7.51,+56.2%,+15.6%
OOP,As8s,桶7:纯空气,6.49,10.14,7.51,+56.2%,+15.6%
OOP,Ad9d,桶7:纯空气,7.11,10.72,7.93,+50.8%,+11.6%
OOP,As9s,桶7:纯空气,7.11,10.72,7.93,+50.8%,+11.6%
OOP,9h6h,桶6:弱听牌,7.52,7.58,5.98,+0.9%,-20.5%
OOP,8h6h,桶6:弱听牌,7.60,7.33,5.78,-3.5%,-24.0%
OOP,9h7h,桶6:弱听牌,7.80,7.89,6.21,+1.1%,-20.4%
OOP,8h7h,桶6:弱听牌,7.88,7.61,5.99,-3.4%,-23.9%
OOP,AdTd,桶7:纯空气,7.93,11.75,8.69,+48.2%,+9.7%
OOP,AsTs,桶7:纯空气,7.93,11.75,8.69,+48.2%,+9.7%
OOP,7h6h,桶6:弱听牌,8.04,7.46,5.88,-7.2%,-26.9%
OOP,9h8h,桶6:弱听牌,8.04,8.09,6.37,+0.6%,-20.7%
OOP,Ah4h,桶6:弱听牌,8.56,10.00,7.88,+16.8%,-7.9%
OOP,AdJd,桶7:纯空气,8.74,13.05,9.66,+49.2%,+10.4%
OOP,AsJs,桶7:纯空气,8.74,13.05,9.66,+49.2%,+10.4%
OOP,AsJd,桶7:纯空气,8.74,13.05,9.66,+49.2%,+10.4%
OOP,AdJs,桶7:纯空气,8.74,13.05,9.66,+49.2%,+10.4%
OOP,JdTd,桶7:纯空气,8.77,8.76,6.48,-0.1%,-26.1%
OOP,JsTs,桶7:纯空气,8.77,8.76,6.48,-0.1%,-26.1%
OOP,Ah8h,桶6:弱听牌,8.86,11.31,8.91,+27.6%,+0.6%
OOP,AdJh,桶7:纯空气,8.90,13.24,9.80,+48.7%,+10.0%
OOP,AsJh,桶7:纯空气,8.90,13.24,9.80,+48.7%,+10.0%
OOP,QdTd,桶7:纯空气,9.33,9.43,6.97,+1.0%,-25.3%
OOP,QsTs,桶7:纯空气,9.33,9.43,6.97,+1.0%,-25.3%
OOP,Ah9h,桶6:弱听牌,9.36,11.81,9.30,+26.1%,-0.6%
OOP,AhJd,桶7:纯空气,9.40,13.37,9.89,+42.3%,+5.3%
OOP,AhJs,桶7:纯空气,9.40,13.37,9.89,+42.3%,+5.3%
OOP,QdJd,桶7:纯空气,10.03,10.14,7.50,+1.1%,-25.2%
OOP,QsJs,桶7:纯空气,10.03,10.14,7.50,+1.1%,-25.2%
OOP,AhTh,桶6:弱听牌,10.14,12.97,10.22,+27.9%,+0.8%
OOP,5d4d,桶3:中等成牌,10.26,16.52,13.50,+61.1%,+31.6%
OOP,5s4s,桶3:中等成牌,10.26,16.52,13.50,+61.1%,+31.6%
OOP,JhTh,桶6:弱听牌,10.37,10.23,8.06,-1.4%,-22.3%
OOP,AsQd,桶7:纯空气,10.51,15.24,11.28,+45.0%,+7.3%
OOP,AdQs,桶7:纯空气,10.51,15.24,11.28,+45.0%,+7.3%
OOP,AdQd,桶7:纯空气,10.51,15.24,11.28,+45.0%,+7.3%
OOP,AsQs,桶7:纯空气,10.51,15.24,11.28,+45.0%,+7.3%
OOP,AdQh,桶7:纯空气,10.71,15.48,11.46,+44.6%,+7.0%
OOP,AsQh,桶7:纯空气,10.71,15.48,11.46,+44.6%,+7.0%
OOP,6d5d,桶3:中等成牌,10.78,17.62,14.39,+63.4%,+33.5%
OOP,6s5s,桶3:中等成牌,10.78,17.62,14.39,+63.4%,+33.5%
OOP,AdJc,桶6:弱听牌,10.95,15.04,11.85,+37.4%,+8.2%
OOP,AsJc,桶6:弱听牌,10.95,15.04,11.85,+37.4%,+8.2%
OOP,QhTh,桶6:弱听牌,11.07,10.89,8.58,-1.6%,-22.5%
OOP,7d5d,桶3:中等成牌,11.13,17.79,14.54,+59.9%,+30.7%
OOP,7s5s,桶3:中等成牌,11.13,17.79,14.54,+59.9%,+30.7%
OOP,AhQd,桶7:纯空气,11.20,15.93,11.78,+42.1%,+5.2%
OOP,AhQs,桶7:纯空气,11.20,15.93,11.78,+42.1%,+5.2%
OOP,AhJh,桶6:弱听牌,11.38,14.81,11.67,+30.1%,+2.5%
OOP,8d5d,桶3:中等成牌,11.43,17.92,14.64,+56.8%,+28.1%
OOP,8s5s,桶3:中等成牌,11.43,17.92,14.64,+56.8%,+28.1%
OOP,AhJc,桶6:弱听牌,11.60,15.47,12.19,+33.4%,+5.1%
