位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,9s6s,桶7:纯空气,6.26,6.26,4.20,-0.0%,-32.9%
OOP,8s6s,桶7:纯空气,6.33,6.20,4.16,-2.1%,-34.3%
OOP,As4s,桶7:纯空气,6.58,9.55,6.41,+45.3%,-2.5%
OOP,9s7s,桶7:纯空气,6.62,6.52,4.37,-1.6%,-34.0%
OOP,8s7s,桶7:纯空气,6.64,6.42,4.31,-3.3%,-35.1%
OOP,9s8s,桶7:纯空气,6.73,6.87,4.61,+2.0%,-31.6%
OOP,7s6s,桶7:纯空气,6.83,6.60,4.43,-3.4%,-35.2%
OOP,As8s,桶7:纯空气,7.12,10.94,7.34,+53.6%,+3.0%
OOP,As9s,桶7:纯空气,7.69,11.45,7.69,+48.9%,-0.1%
OOP,9d6d,桶6:弱听牌,8.11,7.75,6.75,-4.4%,-16.7%
OOP,9h6h,桶6:弱听牌,8.11,7.75,6.75,-4.4%,-16.7%
OOP,8d6d,桶6:弱听牌,8.20,7.48,6.52,-8.7%,-20.5%
OOP,8h6h,桶6:弱听牌,8.20,7.48,6.52,-8.7%,-20.5%
OOP,9c6c,桶6:弱听牌,8.25,7.85,6.84,-4.8%,-17.1%
OOP,8c6c,桶6:弱听牌,8.26,7.53,6.56,-8.8%,-20.6%
OOP,9d7d,桶6:弱听牌,8.41,8.11,7.06,-3.6%,-16.1%
OOP,9h7h,桶6:弱听牌,8.41,8.11,7.06,-3.6%,-16.1%
OOP,8d7d,桶6:弱听牌,8.51,7.74,6.74,-9.0%,-20.8%
OOP,8h7h,桶6:弱听牌,8.51,7.74,6.74,-9.0%,-20.8%
OOP,9c7c,桶6:弱听牌,8.54,8.07,7.03,-5.6%,-17.7%
OOP,8c7c,桶6:弱听牌,8.55,7.79,6.79,-8.8%,-20.6%
OOP,AsTs,桶7:纯空气,8.55,12.80,8.59,+49.7%,+0.4%
OOP,9c8c,桶6:弱听牌,8.64,8.30,7.23,-3.9%,-16.3%
OOP,9d8d,桶6:弱听牌,8.64,8.28,7.21,-4.2%,-16.6%
OOP,9h8h,桶6:弱听牌,8.64,8.28,7.21,-4.2%,-16.6%
