位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,8c6c,桶7:纯空气,2.77,4.42,2.97,+59.7%,+7.3%
OOP,8d6d,桶7:纯空气,2.77,4.42,2.97,+59.7%,+7.3%
OOP,8c7c,桶7:纯空气,2.88,4.68,3.14,+62.5%,+9.2%
OOP,8d7d,桶7:纯空气,2.88,4.68,3.14,+62.5%,+9.2%
OOP,7c6c,桶7:纯空气,2.94,4.11,2.76,+39.7%,-6.1%
OOP,7d6d,桶7:纯空气,2.94,4.11,2.76,+39.7%,-6.1%
OOP,8c5c,桶7:纯空气,2.98,4.32,2.90,+45.1%,-2.5%
OOP,8d5d,桶7:纯空气,2.98,4.32,2.90,+45.1%,-2.5%
OOP,9c6c,桶7:纯空气,3.18,4.94,3.32,+55.1%,+4.2%
OOP,9d6d,桶7:纯空气,3.18,4.94,3.32,+55.1%,+4.2%
OOP,7c5c,桶7:纯空气,3.18,4.02,2.70,+26.3%,-15.2%
OOP,7d5d,桶7:纯空气,3.18,4.02,2.70,+26.3%,-15.2%
OOP,9c7c,桶7:纯空气,3.30,5.23,3.52,+58.5%,+6.5%
OOP,9d7d,桶7:纯空气,3.30,5.23,3.52,+58.5%,+6.5%
OOP,6c5c,桶7:纯空气,4.00,4.14,2.78,+3.4%,-30.5%
OOP,6d5d,桶7:纯空气,4.00,4.14,2.78,+3.4%,-30.5%
OOP,8h6h,桶6:弱听牌,4.85,5.46,5.25,+12.6%,+8.2%
OOP,8h7h,桶6:弱听牌,4.88,5.72,5.50,+17.2%,+12.7%
OOP,8h5h,桶6:弱听牌,5.08,5.38,5.17,+6.0%,+1.9%
OOP,9h6h,桶6:弱听牌,5.08,5.98,5.74,+17.5%,+12.9%
OOP,9h7h,桶6:弱听牌,5.14,6.27,6.02,+21.9%,+17.1%
OOP,7h6h,桶6:弱听牌,5.17,5.18,4.98,+0.3%,-3.6%
OOP,7h5h,桶6:弱听牌,5.41,5.10,4.90,-5.8%,-9.4%
OOP,Ac5c,桶7:纯空气,6.41,9.34,6.28,+45.8%,-2.0%
OOP,Ad5d,桶7:纯空气,6.41,9.34,6.28,+45.8%,-2.0%
OOP,6h5h,桶6:弱听牌,6.50,5.19,4.99,-20.1%,-23.2%
OOP,Ac8c,桶7:纯空气,6.57,9.28,6.23,+41.2%,-5.1%
OOP,Ad8d,桶7:纯空气,6.57,9.28,6.23,+41.2%,-5.1%
OOP,Ac9c,桶7:纯空气,7.22,10.77,7.24,+49.3%,+0.3%
OOP,Ad9d,桶7:纯空气,7.22,10.77,7.24,+49.3%,+0.3%
OOP,9c8c,桶6:弱听牌,7.94,8.60,8.26,+8.2%,+4.0%
OOP,9d8d,桶6:弱听牌,7.94,8.60,8.26,+8.2%,+4.0%
OOP,6d6c,桶3:中等成牌,8.20,14.34,10.54,+74.9%,+28.5%
OOP,6h6c,桶3:中等成牌,8.62,14.40,10.59,+67.2%,+22.9%
OOP,6h6d,桶3:中等成牌,8.62,14.40,10.59,+67.2%,+22.9%
OOP,7d7c,桶3:中等成牌,9.36,15.73,11.56,+68.0%,+23.5%
OOP,Ah8h,桶6:弱听牌,9.43,11.29,10.85,+19.7%,+15.0%
OOP,7h7c,桶3:中等成牌,9.69,15.80,11.61,+63.1%,+19.9%
OOP,7h7d,桶3:中等成牌,9.69,15.80,11.61,+63.1%,+19.9%
OOP,Ah5h,桶6:弱听牌,9.69,10.42,10.01,+7.5%,+3.3%
OOP,Ah9h,桶6:弱听牌,10.07,11.81,11.35,+17.3%,+12.7%
OOP,9h8h,桶6:弱听牌,10.35,9.79,9.41,-5.4%,-9.1%
OOP,6s6c,桶3:中等成牌,10.63,15.88,11.67,+49.5%,+9.8%
OOP,6s6d,桶3:中等成牌,10.63,15.88,11.67,+49.5%,+9.8%
OOP,8d8c,桶3:中等成牌,10.88,17.98,13.21,+65.3%,+21.5%
OOP,6s6h,桶3:中等成牌,11.04,15.95,11.72,+44.5%,+6.2%
OOP,8h8c,桶3:中等成牌,11.06,17.98,13.21,+62.6%,+19.5%
OOP,8h8d,桶3:中等成牌,11.06,17.98,13.21,+62.6%,+19.5%
OOP,Kc9c,桶6:弱听牌,11.18,13.00,12.49,+16.3%,+11.7%
OOP,Kd9d,桶6:弱听牌,11.18,13.00,12.49,+16.3%,+11.7%
OOP,7s7c,桶3:中等成牌,11.77,17.38,12.77,+47.7%,+8.5%
OOP,7s7d,桶3:中等成牌,11.77,17.38,12.77,+47.7%,+8.5%
OOP,Ac4c,桶3:中等成牌,12.03,16.49,12.12,+37.0%,+0.7%
OOP,Ad4d,桶3:中等成牌,12.03,16.49,12.12,+37.0%,+0.7%
OOP,7s7h,桶3:中等成牌,12.07,17.49,12.85,+44.8%,+6.5%
OOP,5c4c,桶3:中等成牌,12.39,15.05,11.06,+21.4%,-10.8%
OOP,5d4d,桶3:中等成牌,12.39,15.05,11.06,+21.4%,-10.8%
OOP,9d9c,桶3:中等成牌,12.45,20.07,14.75,+61.3%,+18.5%
OOP,9h9c,桶3:中等成牌,12.54,20.00,14.70,+59.5%,+17.2%
OOP,9h9d,桶3:中等成牌,12.54,20.00,14.70,+59.5%,+17.2%
OOP,8s8c,桶3:中等成牌,13.27,19.92,14.64,+50.1%,+10.3%
OOP,8s8d,桶3:中等成牌,13.27,19.92,14.64,+50.1%,+10.3%
OOP,8s8h,桶3:中等成牌,13.51,19.91,14.63,+47.3%,+8.3%
OOP,Kh9h,桶6:弱听牌,14.42,14.60,14.03,+1.2%,-2.7%
OOP,9s9c,桶3:中等成牌,14.75,22.59,16.60,+53.1%,+12.6%
OOP,9s9d,桶3:中等成牌,14.75,22.59,16.60,+53.1%,+12.6%
OOP,9s9h,桶3:中等成牌,14.91,22.51,16.55,+51.0%,+11.0%
OOP,TdTc,桶3:中等成牌,15.37,23.49,17.26,+52.8%,+12.3%
OOP,ThTc,桶3:中等成牌,15.47,23.35,17.16,+50.9%,+10.9%
OOP,ThTd,桶3:中等成牌,15.47,23.35,17.16,+50.9%,+10.9%
OOP,AcTc,桶6:弱听牌,15.63,16.31,15.67,+4.3%,+0.2%
OOP,AdTd,桶6:弱听牌,15.63,16.31,15.67,+4.3%,+0.2%
OOP,AcKc,桶5:常规强听牌,15.81,21.48,21.57,+35.9%,+36.4%
OOP,AdKd,桶5:常规强听牌,15.81,21.48,21.57,+35.9%,+36.4%
OOP,AdKc,桶5:常规强听牌,15.81,21.50,21.58,+35.9%,+36.5%
OOP,AcKd,桶5:常规强听牌,15.81,21.50,21.58,+35.9%,+36.5%
OOP,AcKh,桶5:常规强听牌,16.19,21.55,21.63,+33.1%,+33.6%
OOP,AdKh,桶5:常规强听牌,16.19,21.55,21.63,+33.1%,+33.6%
OOP,5h4h,桶3:中等成牌,16.23,17.46,12.83,+7.6%,-20.9%
OOP,AhKc,桶5:常规强听牌,16.39,21.48,21.57,+31.1%,+31.6%
OOP,AhKd,桶5:常规强听牌,16.39,21.48,21.57,+31.1%,+31.6%
OOP,Ah4h,桶3:中等成牌,17.39,19.17,14.09,+10.2%,-19.0%
OOP,TsTc,桶3:中等成牌,17.42,25.95,19.07,+49.0%,+9.5%
OOP,TsTd,桶3:中等成牌,17.42,25.95,19.07,+49.0%,+9.5%
OOP,TsTh,桶3:中等成牌,17.64,25.82,18.98,+46.4%,+7.6%
OOP,JcTc,桶3:中等成牌,20.27,29.14,21.42,+43.8%,+5.7%
OOP,JdTd,桶3:中等成牌,20.27,29.14,21.42,+43.8%,+5.7%
OOP,AcKs,桶5:常规强听牌,20.43,25.06,25.16,+22.6%,+23.1%
OOP,AdKs,桶5:常规强听牌,20.43,25.06,25.16,+22.6%,+23.1%
OOP,AhKs,桶5:常规强听牌,20.92,25.08,25.18,+19.9%,+20.4%
OOP,AhTh,桶6:弱听牌,21.00,18.71,17.98,-10.9%,-14.4%
OOP,AhKh,桶5:常规强听牌,21.49,23.87,23.96,+11.0%,+11.5%
OOP,KcJc,桶3:中等成牌,22.70,31.98,23.50,+40.9%,+3.6%
OOP,KdJd,桶3:中等成牌,22.70,31.98,23.50,+40.9%,+3.6%
OOP,8s5s,桶5:常规强听牌,22.78,21.50,21.59,-5.6%,-5.2%
OOP,7s5s,桶5:常规强听牌,22.87,21.08,21.17,-7.8%,-7.4%
OOP,8s6s,桶5:常规强听牌,23.03,21.89,21.98,-5.0%,-4.6%
OOP,AsKc,桶5:常规强听牌,23.09,25.29,25.39,+9.5%,+10.0%
OOP,AsKd,桶5:常规强听牌,23.09,25.29,25.39,+9.5%,+10.0%
OOP,9s6s,桶5:常规强听牌,23.23,22.20,22.28,-4.4%,-4.1%
