位置,手牌,FullEV,DLEv,DLEv偏差%
OOP,8c6c,2.46,4.19,+70.0%
OOP,8d6d,2.46,4.19,+70.0%
OOP,7c6c,2.58,3.94,+52.4%
OOP,7d6d,2.58,3.94,+52.4%
OOP,8c7c,2.60,4.49,+72.4%
OOP,8d7d,2.60,4.49,+72.4%
OOP,8c5c,2.63,4.11,+56.1%
OOP,8d5d,2.63,4.11,+56.1%
OOP,7c5c,2.80,3.90,+39.4%
OOP,7d5d,2.80,3.90,+39.4%
OOP,9c6c,2.80,4.81,+71.8%
OOP,9d6d,2.80,4.81,+71.8%
OOP,9c7c,2.97,5.12,+72.6%
OOP,9d7d,2.97,5.12,+72.6%
OOP,6c5c,3.46,4.09,+18.3%
OOP,6d5d,3.46,4.09,+18.3%
OOP,8h6h,4.26,4.99,+17.1%
OOP,8h7h,4.35,5.40,+24.2%
OOP,8h5h,4.48,4.83,+7.6%
OOP,9h6h,4.52,5.57,+23.0%
OOP,7h6h,4.58,4.87,+6.5%
OOP,9h7h,4.61,5.89,+27.9%
OOP,7h5h,4.84,4.89,+1.2%
OOP,Ac5c,5.86,8.77,+49.7%
OOP,Ad5d,5.86,8.77,+49.7%
OOP,6h5h,5.87,5.01,-14.7%
OOP,Ac8c,6.11,9.67,+58.3%
OOP,Ad8d,6.11,9.67,+58.3%
OOP,Ac9c,6.76,10.24,+51.4%
OOP,Ad9d,6.76,10.24,+51.4%
OOP,6d6c,7.77,14.32,+84.4%
OOP,6h6c,8.07,14.50,+79.6%
OOP,6h6d,8.07,14.50,+79.6%
OOP,9c8c,8.21,8.32,+1.3%
OOP,9d8d,8.21,8.32,+1.3%
OOP,Ah8h,8.74,10.49,+20.0%
OOP,Ah5h,8.75,9.56,+9.3%
OOP,7d7c,8.98,15.68,+74.6%
OOP,7h7c,9.28,15.81,+70.4%
OOP,7h7d,9.28,15.81,+70.4%
OOP,Ah9h,9.41,10.75,+14.2%
OOP,8d8c,10.37,17.38,+67.6%
OOP,6s6c,10.42,15.38,+47.6%
OOP,6s6d,10.42,15.38,+47.6%
OOP,6s6h,10.61,15.51,+46.3%
OOP,8h8c,10.61,17.33,+63.3%
OOP,8h8d,10.61,17.33,+63.3%
OOP,9h8h,10.97,9.94,-9.4%
OOP,7s7c,11.40,16.86,+47.9%
OOP,7s7d,11.40,16.86,+47.9%
OOP,7s7h,11.62,16.98,+46.1%
OOP,Kc9c,11.81,11.92,+0.9%
OOP,Kd9d,11.81,11.92,+0.9%
OOP,9d9c,12.07,19.75,+63.6%
OOP,9h9c,12.12,19.65,+62.1%
OOP,9h9d,12.12,19.65,+62.1%
OOP,8s8c,12.87,19.63,+52.5%
OOP,8s8d,12.87,19.63,+52.5%
OOP,8s8h,12.97,19.54,+50.7%
OOP,Ac4c,13.94,17.02,+22.1%
OOP,Ad4d,13.94,17.02,+22.1%
OOP,5c4c,14.06,14.42,+2.5%
OOP,5d4d,14.06,14.42,+2.5%
OOP,9s9c,14.63,21.99,+50.2%
OOP,9s9d,14.63,21.99,+50.2%
OOP,9s9h,14.71,21.96,+49.2%
OOP,ThTc,14.93,22.83,+52.9%
OOP,ThTd,14.93,22.83,+52.9%
OOP,TdTc,14.95,22.92,+53.3%
OOP,Kh9h,15.47,13.70,-11.4%
OOP,AcTc,15.96,16.33,+2.3%
OOP,AdTd,15.96,16.33,+2.3%
OOP,TsTc,17.58,24.91,+41.7%
OOP,TsTd,17.58,24.91,+41.7%
OOP,TsTh,17.62,24.82,+40.9%
OOP,AcKc,17.86,22.33,+25.0%
OOP,AdKd,17.86,22.33,+25.0%
OOP,AdKc,17.87,22.34,+25.1%
OOP,AcKd,17.87,22.34,+25.1%
OOP,AcKh,18.12,22.37,+23.5%
OOP,AdKh,18.12,22.37,+23.5%
OOP,AhKc,18.15,22.41,+23.5%
OOP,AhKd,18.15,22.41,+23.5%
OOP,5h4h,18.36,16.78,-8.6%
OOP,Ah4h,18.42,19.11,+3.7%
OOP,AhTh,20.02,18.78,-6.2%
OOP,JcTc,21.14,28.99,+37.1%
OOP,JdTd,21.14,28.99,+37.1%
OOP,AhKh,22.42,24.66,+10.0%
OOP,AcKs,23.01,27.21,+18.3%
OOP,AdKs,23.01,27.21,+18.3%
OOP,AhKs,23.36,27.06,+15.9%
OOP,KcJc,24.01,31.90,+32.9%
OOP,KdJd,24.01,31.90,+32.9%
OOP,AsKc,24.47,26.23,+7.2%
OOP,AsKd,24.47,26.23,+7.2%
OOP,AsKh,24.75,26.26,+6.1%
OOP,8s5s,25.46,21.21,-16.7%
OOP,7s5s,25.53,20.51,-19.6%
OOP,JhTh,25.56,30.56,+19.6%
OOP,8s6s,25.94,21.56,-16.9%
OOP,9s6s,26.00,21.74,-16.4%
OOP,KcTc,26.20,22.31,-14.8%
OOP,KdTd,26.20,22.31,-14.8%
OOP,AcJh,26.34,34.27,+30.1%
OOP,AdJh,26.34,34.27,+30.1%
OOP,8s7s,26.35,21.94,-16.8%
OOP,AdJc,26.36,34.43,+30.6%
OOP,AcJd,26.36,34.43,+30.6%
OOP,AcJc,26.36,34.43,+30.6%
OOP,AdJd,26.36,34.43,+30.6%
OOP,7s6s,26.40,20.98,-20.5%
OOP,9s7s,26.40,22.14,-16.2%
OOP,6s5s,26.59,21.25,-20.1%
OOP,AhJc,26.62,34.53,+29.7%
OOP,AhJd,26.62,34.53,+29.7%
OOP,KhJh,28.69,33.75,+17.6%
OOP,KhTh,30.03,25.28,-15.8%
OOP,AhJh,31.25,36.22,+15.9%
OOP,AsJh,33.04,38.06,+15.2%
OOP,AsJc,33.08,38.24,+15.6%
OOP,AsJd,33.08,38.24,+15.6%
OOP,9s8s,33.98,30.47,-10.3%
OOP,QcTc,35.10,39.46,+12.4%
OOP,QdTd,35.10,39.46,+12.4%
OOP,As8s,39.19,34.28,-12.5%
OOP,As9s,39.75,34.48,-13.2%
OOP,As5s,40.42,34.25,-15.3%
OOP,KcQc,40.82,43.82,+7.3%
OOP,KdQd,40.82,43.82,+7.3%
OOP,KdQc,40.82,43.82,+7.3%
OOP,KcQd,40.82,43.82,+7.3%
OOP,KhQc,40.94,43.86,+7.1%
OOP,KhQd,40.94,43.86,+7.1%
OOP,Ks9s,41.93,36.48,-13.0%
OOP,KsQc,44.94,46.39,+3.2%
OOP,KsQd,44.94,46.39,+3.2%
OOP,KcQs,45.29,46.37,+2.4%
OOP,KdQs,45.29,46.37,+2.4%
OOP,KhQs,45.41,46.45,+2.3%
OOP,AdQc,49.87,48.42,-2.9%
OOP,AcQd,49.87,48.42,-2.9%
OOP,AcQc,49.87,48.42,-2.9%
OOP,AdQd,49.87,48.42,-2.9%
OOP,AhQc,50.11,48.56,-3.1%
OOP,AhQd,50.11,48.56,-3.1%
OOP,AsTs,50.94,43.35,-14.9%
OOP,AsKs,53.13,46.18,-13.1%
OOP,AcQs,54.79,51.32,-6.3%
OOP,AdQs,54.79,51.32,-6.3%
OOP,AdAc,54.91,50.67,-7.7%
OOP,KsTs,55.03,44.14,-19.8%
OOP,AhQs,55.08,51.48,-6.5%
OOP,AhAc,55.20,51.05,-7.5%
OOP,AhAd,55.20,51.05,-7.5%
OOP,KdKc,55.31,51.22,-7.4%
OOP,KhKc,55.38,51.35,-7.3%
OOP,KhKd,55.38,51.35,-7.3%
OOP,AsQc,55.86,51.30,-8.2%
OOP,AsQd,55.86,51.30,-8.2%
OOP,KsKc,59.38,53.18,-10.4%
OOP,KsKd,59.38,53.18,-10.4%
OOP,KsKh,59.48,53.29,-10.4%
OOP,AsAc,61.09,53.56,-12.3%
