位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,8c6c,桶7:纯空气,2.99,4.12,3.04,+37.6%,+1.7%
OOP,8c7c,桶7:纯空气,3.17,4.34,3.20,+36.7%,+1.0%
OOP,8c5c,桶7:纯空气,3.20,4.06,3.00,+26.7%,-6.4%
OOP,7c6c,桶7:纯空气,3.44,3.95,2.92,+15.0%,-15.0%
OOP,9c6c,桶7:纯空气,3.45,4.54,3.36,+31.6%,-2.8%
OOP,7c5c,桶7:纯空气,3.63,3.90,2.88,+7.4%,-20.7%
OOP,9c7c,桶7:纯空气,3.68,4.87,3.60,+32.5%,-2.1%
OOP,6c5c,桶7:纯空气,4.60,4.06,3.00,-11.8%,-34.8%
OOP,8d6d,桶6:弱听牌,5.37,5.31,5.45,-1.1%,+1.6%
OOP,8s6s,桶6:弱听牌,5.37,5.27,5.41,-1.9%,+0.7%
OOP,8d7d,桶6:弱听牌,5.49,5.60,5.75,+2.0%,+4.8%
OOP,8d5d,桶6:弱听牌,5.49,5.07,5.21,-7.7%,-5.2%
OOP,8s7s,桶6:弱听牌,5.50,5.52,5.67,+0.5%,+3.2%
OOP,8s5s,桶6:弱听牌,5.51,5.02,5.16,-8.9%,-6.4%
OOP,8h6h,桶6:弱听牌,5.57,5.31,5.45,-4.7%,-2.1%
OOP,9d6d,桶6:弱听牌,5.71,5.62,5.78,-1.5%,+1.2%
OOP,8h7h,桶6:弱听牌,5.71,5.57,5.72,-2.4%,+0.2%
OOP,9s6s,桶6:弱听牌,5.72,5.58,5.73,-2.4%,+0.2%
OOP,8h5h,桶6:弱听牌,5.72,5.05,5.18,-11.8%,-9.4%
OOP,7d6d,桶6:弱听牌,5.80,5.00,5.14,-13.8%,-11.5%
OOP,9d7d,桶6:弱听牌,5.84,5.95,6.11,+2.0%,+4.7%
OOP,9s7s,桶6:弱听牌,5.85,5.91,6.07,+0.9%,+3.7%
OOP,7s6s,桶6:弱听牌,5.89,5.03,5.16,-14.7%,-12.4%
OOP,9h6h,桶6:弱听牌,5.91,5.60,5.75,-5.3%,-2.7%
OOP,7d5d,桶6:弱听牌,5.99,4.86,4.99,-18.8%,-16.6%
OOP,7h6h,桶6:弱听牌,5.99,5.06,5.20,-15.5%,-13.2%
