位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,8c6c,桶7:纯空气,2.76,4.33,2.99,+56.8%,+8.2%
OOP,8d6d,桶7:纯空气,2.76,4.33,2.99,+56.8%,+8.2%
OOP,8c7c,桶7:纯空气,2.87,4.57,3.15,+59.2%,+9.9%
OOP,8d7d,桶7:纯空气,2.87,4.57,3.15,+59.2%,+9.9%
OOP,8c5c,桶7:纯空气,2.97,4.23,2.92,+42.3%,-1.8%
OOP,8d5d,桶7:纯空气,2.97,4.23,2.92,+42.3%,-1.8%
OOP,7c6c,桶7:纯空气,3.00,4.02,2.77,+33.8%,-7.7%
OOP,7d6d,桶7:纯空气,3.00,4.02,2.77,+33.8%,-7.7%
OOP,9c6c,桶7:纯空气,3.17,4.85,3.35,+53.2%,+5.7%
OOP,9d6d,桶7:纯空气,3.17,4.85,3.35,+53.2%,+5.7%
OOP,7c5c,桶7:纯空气,3.23,3.92,2.71,+21.4%,-16.3%
OOP,7d5d,桶7:纯空气,3.23,3.92,2.71,+21.4%,-16.3%
OOP,9c7c,桶7:纯空气,3.28,5.13,3.54,+56.3%,+7.8%
OOP,9d7d,桶7:纯空气,3.28,5.13,3.54,+56.3%,+7.8%
OOP,6c5c,桶7:纯空气,4.07,4.05,2.79,-0.5%,-31.3%
OOP,6d5d,桶7:纯空气,4.07,4.05,2.79,-0.5%,-31.3%
OOP,8h6h,桶6:弱听牌,4.76,5.40,5.30,+13.3%,+11.4%
OOP,8h7h,桶6:弱听牌,4.80,5.62,5.53,+17.1%,+15.1%
OOP,9h6h,桶6:弱听牌,4.99,5.90,5.80,+18.2%,+16.2%
OOP,8h5h,桶6:弱听牌,5.02,5.31,5.22,+5.8%,+4.0%
OOP,9h7h,桶6:弱听牌,5.06,6.16,6.06,+21.9%,+19.8%
OOP,7h6h,桶6:弱听牌,5.17,5.09,5.01,-1.4%,-3.1%
OOP,7h5h,桶6:弱听牌,5.44,5.01,4.93,-7.9%,-9.4%
OOP,Ac5c,桶7:纯空气,6.37,9.14,6.31,+43.6%,-0.9%
OOP,Ad5d,桶7:纯空气,6.37,9.14,6.31,+43.6%,-0.9%
OOP,Ac8c,桶7:纯空气,6.50,9.22,6.36,+41.9%,-2.1%
OOP,Ad8d,桶7:纯空气,6.50,9.22,6.36,+41.9%,-2.1%
OOP,6h5h,桶6:弱听牌,6.63,5.13,5.05,-22.5%,-23.8%
OOP,Ac9c,桶7:纯空气,7.15,10.58,7.30,+47.9%,+2.0%
OOP,Ad9d,桶7:纯空气,7.15,10.58,7.30,+47.9%,+2.0%
OOP,9c8c,桶6:弱听牌,7.97,8.29,8.15,+4.0%,+2.2%
OOP,9d8d,桶6:弱听牌,7.97,8.29,8.15,+4.0%,+2.2%
OOP,6d6c,桶3:中等成牌,8.24,13.91,10.25,+68.9%,+24.5%
OOP,6h6c,桶3:中等成牌,8.69,14.09,10.38,+62.2%,+19.5%
OOP,6h6d,桶3:中等成牌,8.69,14.09,10.38,+62.2%,+19.5%
OOP,7d7c,桶3:中等成牌,9.35,15.31,11.28,+63.7%,+20.6%
OOP,Ah8h,桶6:弱听牌,9.36,11.05,10.86,+18.0%,+16.0%
OOP,Ah5h,桶6:弱听牌,9.65,9.79,9.62,+1.4%,-0.3%
OOP,7h7c,桶3:中等成牌,9.73,15.37,11.33,+57.9%,+16.4%
OOP,7h7d,桶3:中等成牌,9.73,15.37,11.33,+57.9%,+16.4%
OOP,Ah9h,桶6:弱听牌,9.95,11.58,11.38,+16.4%,+14.4%
OOP,9h8h,桶6:弱听牌,10.14,9.57,9.41,-5.6%,-7.2%
OOP,8d8c,桶3:中等成牌,10.78,17.39,12.82,+61.3%,+18.9%
OOP,6s6c,桶3:中等成牌,10.86,15.49,11.42,+42.6%,+5.1%
OOP,6s6d,桶3:中等成牌,10.86,15.49,11.42,+42.6%,+5.1%
OOP,8h8c,桶3:中等成牌,11.07,17.56,12.95,+58.7%,+17.0%
OOP,8h8d,桶3:中等成牌,11.07,17.56,12.95,+58.7%,+17.0%
OOP,Kc9c,桶6:弱听牌,11.22,12.72,12.50,+13.3%,+11.4%
OOP,Kd9d,桶6:弱听牌,11.22,12.72,12.50,+13.3%,+11.4%
OOP,Ac4c,桶3:中等成牌,11.27,16.05,11.83,+42.4%,+4.9%
OOP,Ad4d,桶3:中等成牌,11.27,16.05,11.83,+42.4%,+4.9%
OOP,6s6h,桶3:中等成牌,11.37,15.68,11.55,+37.9%,+1.6%
OOP,5c4c,桶3:中等成牌,11.75,14.77,10.88,+25.7%,-7.4%
OOP,5d4d,桶3:中等成牌,11.75,14.77,10.88,+25.7%,-7.4%
OOP,7s7c,桶3:中等成牌,11.91,16.96,12.50,+42.5%,+5.0%
OOP,7s7d,桶3:中等成牌,11.91,16.96,12.50,+42.5%,+5.0%
OOP,7s7h,桶3:中等成牌,12.28,17.09,12.60,+39.1%,+2.6%
OOP,9d9c,桶3:中等成牌,12.31,19.61,14.45,+59.3%,+17.4%
OOP,9h9c,桶3:中等成牌,12.53,19.76,14.57,+57.7%,+16.2%
OOP,9h9d,桶3:中等成牌,12.53,19.76,14.57,+57.7%,+16.2%
OOP,8s8c,桶3:中等成牌,13.25,19.71,14.52,+48.8%,+9.6%
OOP,8s8d,桶3:中等成牌,13.25,19.71,14.52,+48.8%,+9.6%
OOP,8s8h,桶3:中等成牌,13.60,19.93,14.69,+46.5%,+8.0%
OOP,Kh9h,桶6:弱听牌,14.26,14.65,14.40,+2.8%,+1.0%
OOP,9s9c,桶3:中等成牌,14.67,22.34,16.47,+52.3%,+12.2%
OOP,9s9d,桶3:中等成牌,14.67,22.34,16.47,+52.3%,+12.2%
OOP,9s9h,桶3:中等成牌,14.95,22.53,16.60,+50.7%,+11.1%
OOP,TdTc,桶3:中等成牌,15.19,23.05,16.99,+51.8%,+11.8%
OOP,ThTc,桶3:中等成牌,15.48,23.17,17.08,+49.7%,+10.4%
OOP,ThTd,桶3:中等成牌,15.48,23.17,17.08,+49.7%,+10.4%
OOP,AcTc,桶6:弱听牌,15.67,16.06,15.79,+2.5%,+0.8%
OOP,AdTd,桶6:弱听牌,15.67,16.06,15.79,+2.5%,+0.8%
OOP,AcKc,桶5:常规强听牌,15.80,21.19,21.72,+34.1%,+37.4%
OOP,AdKd,桶5:常规强听牌,15.80,21.19,21.72,+34.1%,+37.4%
OOP,AdKc,桶5:常规强听牌,15.81,21.21,21.74,+34.1%,+37.5%
OOP,AcKd,桶5:常规强听牌,15.81,21.21,21.74,+34.1%,+37.5%
OOP,AcKh,桶5:常规强听牌,16.24,21.29,21.82,+31.1%,+34.4%
OOP,AdKh,桶5:常规强听牌,16.24,21.29,21.82,+31.1%,+34.4%
OOP,AhKc,桶5:常规强听牌,16.36,21.14,21.67,+29.2%,+32.4%
OOP,AhKd,桶5:常规强听牌,16.36,21.14,21.67,+29.2%,+32.4%
OOP,TsTc,桶3:中等成牌,17.26,25.51,18.80,+47.8%,+8.9%
OOP,TsTd,桶3:中等成牌,17.26,25.51,18.80,+47.8%,+8.9%
OOP,TsTh,桶3:中等成牌,17.69,25.63,18.89,+44.9%,+6.8%
OOP,JcTc,桶3:中等成牌,19.77,28.87,21.28,+46.0%,+7.6%
OOP,JdTd,桶3:中等成牌,19.77,28.87,21.28,+46.0%,+7.6%
OOP,AcKs,桶5:常规强听牌,20.18,24.70,25.32,+22.4%,+25.4%
OOP,AdKs,桶5:常规强听牌,20.18,24.70,25.32,+22.4%,+25.4%
OOP,AhKs,桶5:常规强听牌,20.64,24.75,25.37,+19.9%,+22.9%
OOP,AhTh,桶6:弱听牌,20.70,18.44,18.12,-10.9%,-12.4%
OOP,AhKh,桶5:常规强听牌,21.15,23.56,24.15,+11.4%,+14.1%
OOP,KcJc,桶3:中等成牌,21.97,31.76,23.41,+44.5%,+6.5%
OOP,KdJd,桶3:中等成牌,21.97,31.76,23.41,+44.5%,+6.5%
OOP,AsKc,桶5:常规强听牌,23.35,25.34,25.98,+8.5%,+11.2%
OOP,AsKd,桶5:常规强听牌,23.35,25.34,25.98,+8.5%,+11.2%
OOP,AsKh,桶5:常规强听牌,23.58,25.43,26.06,+7.9%,+10.5%
OOP,AdJc,桶3:中等成牌,24.12,34.09,25.12,+41.4%,+4.2%
OOP,AcJd,桶3:中等成牌,24.12,34.09,25.12,+41.4%,+4.2%
OOP,AcJc,桶3:中等成牌,24.12,34.09,25.12,+41.3%,+4.2%
OOP,AdJd,桶3:中等成牌,24.12,34.09,25.12,+41.3%,+4.2%
OOP,JhTh,桶3:中等成牌,24.33,30.89,22.76,+27.0%,-6.4%
OOP,AcJh,桶3:中等成牌,24.48,34.22,25.22,+39.8%,+3.0%
OOP,AdJh,桶3:中等成牌,24.48,34.22,25.22,+39.8%,+3.0%
OOP,AhJc,桶3:中等成牌,24.73,34.30,25.28,+38.7%,+2.2%
OOP,AhJd,桶3:中等成牌,24.73,34.30,25.28,+38.7%,+2.2%
OOP,8s5s,桶5:常规强听牌,25.22,22.84,23.41,-9.4%,-7.2%
OOP,7s5s,桶5:常规强听牌,25.46,22.58,23.15,-11.3%,-9.1%
OOP,8s6s,桶5:常规强听牌,25.75,23.36,23.95,-9.3%,-7.0%
OOP,9s6s,桶5:常规强听牌,26.17,23.75,24.34,-9.3%,-7.0%
OOP,6s5s,桶5:常规强听牌,26.39,23.01,23.58,-12.8%,-10.6%
OOP,8s7s,桶5:常规强听牌,26.55,23.71,24.31,-10.7%,-8.4%
OOP,7s6s,桶5:常规强听牌,26.75,23.23,23.81,-13.2%,-11.0%
OOP,9s7s,桶5:常规强听牌,27.01,24.11,24.71,-10.8%,-8.5%
OOP,KhJh,桶3:中等成牌,27.08,33.70,24.84,+24.4%,-8.3%
OOP,KcTc,桶5:常规强听牌,28.26,22.56,23.13,-20.2%,-18.2%
OOP,KdTd,桶5:常规强听牌,28.26,22.56,23.13,-20.2%,-18.2%
OOP,QcTc,桶3:中等成牌,29.92,39.02,28.76,+30.4%,-3.9%
OOP,QdTd,桶3:中等成牌,29.92,39.02,28.76,+30.4%,-3.9%
OOP,AhJh,桶3:中等成牌,30.45,36.11,26.61,+18.6%,-12.6%
OOP,AsJc,桶3:中等成牌,31.81,37.59,27.71,+18.2%,-12.9%
OOP,AsJd,桶3:中等成牌,31.81,37.59,27.71,+18.2%,-12.9%
