位置,手牌,FullEV,DLEv,DLEv偏差%
OOP,8c6c,2.48,4.04,+63.0%
OOP,8d6d,2.48,4.04,+63.0%
OOP,8c7c,2.60,4.31,+66.0%
OOP,8d7d,2.60,4.31,+66.0%
OOP,7c6c,2.62,3.79,+44.9%
OOP,7d6d,2.62,3.79,+44.9%
OOP,8c5c,2.64,3.96,+49.9%
OOP,8d5d,2.64,3.96,+49.9%
OOP,9c6c,2.80,4.65,+65.7%
OOP,9d6d,2.80,4.65,+65.7%
OOP,7c5c,2.82,3.75,+32.8%
OOP,7d5d,2.82,3.75,+32.8%
OOP,9c7c,2.94,4.93,+67.6%
OOP,9d7d,2.94,4.93,+67.6%
OOP,6c5c,3.53,3.95,+11.7%
OOP,6d5d,3.53,3.95,+11.7%
OOP,8h6h,4.18,4.74,+13.2%
OOP,8h7h,4.22,5.07,+20.1%
OOP,8h5h,4.38,4.58,+4.5%
OOP,9h6h,4.45,5.29,+19.0%
OOP,9h7h,4.47,5.59,+25.0%
OOP,7h6h,4.51,4.83,+7.0%
OOP,7h5h,4.74,4.75,+0.3%
OOP,Ac5c,5.88,8.51,+44.8%
OOP,Ad5d,5.88,8.51,+44.8%
OOP,6h5h,5.90,4.92,-16.7%
OOP,Ac8c,6.09,9.45,+55.2%
OOP,Ad8d,6.09,9.45,+55.2%
OOP,Ac9c,6.73,9.98,+48.4%
OOP,Ad9d,6.73,9.98,+48.4%
OOP,6d6c,7.80,13.70,+75.6%
OOP,6h6c,8.23,14.02,+70.3%
OOP,6h6d,8.23,14.02,+70.3%
OOP,9c8c,8.44,7.96,-5.7%
OOP,9d8d,8.44,7.96,-5.7%
OOP,Ah8h,8.71,10.18,+16.8%
OOP,Ah5h,8.72,9.28,+6.4%
OOP,7d7c,9.02,15.09,+67.3%
OOP,7h7c,9.32,15.23,+63.4%
OOP,7h7d,9.32,15.23,+63.4%
OOP,Ah9h,9.36,10.45,+11.6%
OOP,8d8c,10.32,16.69,+61.7%
OOP,8h8c,10.62,16.79,+58.1%
OOP,8h8d,10.62,16.79,+58.1%
OOP,6s6c,10.69,14.89,+39.3%
OOP,6s6d,10.69,14.89,+39.3%
OOP,6s6h,11.05,15.16,+37.2%
OOP,9h8h,11.14,9.53,-14.4%
OOP,7s7c,11.62,16.38,+41.0%
OOP,7s7d,11.62,16.38,+41.0%
OOP,7s7h,11.85,16.50,+39.3%
OOP,Kc9c,11.95,12.09,+1.2%
OOP,Kd9d,11.95,12.09,+1.2%
OOP,9d9c,12.00,18.99,+58.3%
OOP,9h9c,12.16,19.12,+57.3%
OOP,9h9d,12.16,19.12,+57.3%
OOP,Ac4c,12.74,15.84,+24.4%
OOP,Ad4d,12.74,15.84,+24.4%
OOP,8s8c,12.91,18.85,+46.0%
OOP,8s8d,12.91,18.85,+46.0%
OOP,5c4c,13.03,13.90,+6.7%
OOP,5d4d,13.03,13.90,+6.7%
OOP,8s8h,13.13,18.93,+44.2%
OOP,9s9c,14.70,21.12,+43.6%
OOP,9s9d,14.70,21.12,+43.6%
OOP,TdTc,14.82,22.10,+49.2%
OOP,9s9h,14.95,21.25,+42.2%
OOP,ThTc,14.99,22.24,+48.4%
OOP,ThTd,14.99,22.24,+48.4%
OOP,Kh9h,15.51,13.52,-12.8%
OOP,AcTc,16.07,15.86,-1.3%
OOP,AdTd,16.07,15.86,-1.3%
OOP,TsTc,17.71,24.40,+37.8%
OOP,TsTd,17.71,24.40,+37.8%
OOP,TsTh,17.93,24.54,+36.9%
OOP,AcKc,18.01,21.45,+19.1%
OOP,AdKd,18.01,21.45,+19.1%
OOP,AdKc,18.04,21.47,+19.0%
OOP,AcKd,18.04,21.47,+19.0%
OOP,AcKh,18.30,21.56,+17.8%
OOP,AdKh,18.30,21.56,+17.8%
OOP,AhKc,18.36,21.47,+16.9%
OOP,AhKd,18.36,21.47,+16.9%
OOP,AhTh,20.14,18.17,-9.8%
OOP,JcTc,20.94,28.35,+35.4%
OOP,JdTd,20.94,28.35,+35.4%
OOP,AhKh,22.49,23.79,+5.8%
OOP,AcKs,23.10,26.05,+12.8%
OOP,AdKs,23.10,26.05,+12.8%
OOP,AhKs,23.44,26.29,+12.1%
OOP,KcJc,23.76,31.43,+32.3%
OOP,KdJd,23.76,31.43,+32.3%
OOP,AsKc,24.95,25.55,+2.4%
OOP,AsKd,24.95,25.55,+2.4%
OOP,AsKh,25.27,25.58,+1.2%
OOP,JhTh,25.48,30.62,+20.2%
OOP,AdJc,25.90,33.77,+30.4%
OOP,AcJd,25.90,33.77,+30.4%
OOP,AcJc,25.90,33.77,+30.4%
OOP,AdJd,25.90,33.77,+30.4%
OOP,AcJh,26.26,33.93,+29.2%
OOP,AdJh,26.26,33.93,+29.2%
OOP,AhJc,26.31,34.03,+29.3%
OOP,AhJd,26.31,34.03,+29.3%
OOP,KcTc,26.47,22.32,-15.7%
OOP,KdTd,26.47,22.32,-15.7%
OOP,8s5s,27.55,22.64,-17.8%
OOP,7s5s,28.08,22.07,-21.4%
OOP,8s6s,28.12,22.78,-19.0%
OOP,9s6s,28.37,23.21,-18.2%
OOP,KhJh,28.42,33.61,+18.3%
OOP,8s7s,28.66,23.20,-19.0%
OOP,6s5s,28.82,22.79,-20.9%
OOP,9s7s,28.90,23.38,-19.1%
OOP,7s6s,29.02,22.91,-21.1%
OOP,KhTh,30.22,25.60,-15.3%
OOP,AhJh,31.08,36.13,+16.3%
OOP,AsJc,32.52,37.49,+15.3%
OOP,AsJd,32.52,37.49,+15.3%
OOP,AsJh,32.83,37.63,+14.6%
OOP,QcTc,34.56,38.83,+12.4%
OOP,QdTd,34.56,38.83,+12.4%
OOP,9s8s,37.35,33.66,-9.9%
OOP,QhTh,38.65,40.56,+4.9%
OOP,As8s,39.26,34.97,-10.9%
OOP,As5s,40.00,35.70,-10.7%
OOP,KdQc,40.09,43.48,+8.4%
OOP,KcQd,40.09,43.48,+8.4%
OOP,As9s,40.09,35.44,-11.6%
OOP,KcQc,40.09,43.48,+8.4%
OOP,KdQd,40.09,43.48,+8.4%
OOP,KhQc,40.26,43.58,+8.2%
OOP,KhQd,40.26,43.58,+8.2%
OOP,KcQh,40.50,43.62,+7.7%
OOP,KdQh,40.50,43.62,+7.7%
OOP,5s4s,41.86,38.74,-7.5%
OOP,Ks9s,43.67,38.96,-10.8%
OOP,KhQh,43.92,45.02,+2.5%
OOP,KsQc,43.93,46.16,+5.1%
OOP,KsQd,43.93,46.16,+5.1%
OOP,KsQh,44.30,46.30,+4.5%
OOP,AdQc,49.30,48.60,-1.4%
OOP,AcQd,49.30,48.60,-1.4%
OOP,AcQc,49.31,48.60,-1.4%
OOP,AdQd,49.31,48.60,-1.4%
OOP,AhQc,49.57,48.89,-1.4%
OOP,AhQd,49.57,48.89,-1.4%
OOP,AcQh,49.78,48.79,-2.0%
OOP,AdQh,49.78,48.79,-2.0%
OOP,AsTs,51.86,45.33,-12.6%
OOP,As4s,51.90,45.64,-12.1%
OOP,AhQh,53.10,50.27,-5.3%
OOP,AsKs,53.53,47.25,-11.7%
OOP,AdAc,54.24,52.21,-3.8%
OOP,AhAc,54.63,52.67,-3.6%
OOP,AhAd,54.63,52.67,-3.6%
OOP,AsQc,54.77,51.28,-6.4%
OOP,AsQd,54.77,51.28,-6.4%
OOP,KdKc,54.82,54.02,-1.5%
OOP,KhKc,55.02,53.51,-2.7%
OOP,KhKd,55.02,53.51,-2.7%
OOP,AsQh,55.24,51.46,-6.8%
OOP,KsTs,57.19,47.43,-17.1%
OOP,KsKc,58.30,53.86,-7.6%
OOP,KsKd,58.30,53.86,-7.6%
OOP,KsKh,58.46,53.69,-8.2%
OOP,AsAc,59.75,54.06,-9.5%
OOP,AsAd,59.75,54.06,-9.5%
OOP,AsAh,60.08,54.40,-9.4%
OOP,QcJc,66.87,59.14,-11.6%
OOP,QdJd,66.87,59.14,-11.6%
OOP,QhJh,69.31,60.10,-13.3%
OOP,JhJc,92.67,76.03,-18.0%
OOP,JhJd,92.67,76.03,-18.0%
OOP,JdJc,92.79,76.43,-17.6%
OOP,QdQc,92.80,79.71,-14.1%
OOP,QhQc,93.01,79.81,-14.2%
OOP,QhQd,93.01,79.81,-14.2%
IP,8c6c,2.49,3.59,+44.2%
IP,8d6d,2.49,3.59,+44.2%
IP,7c6c,2.54,2.81,+10.7%
IP,7d6d,2.54,2.81,+10.7%
IP,8c7c,2.54,4.03,+58.5%
IP,8d7d,2.54,4.03,+58.5%
IP,9c6c,2.99,4.78,+59.9%
IP,9d6d,2.99,4.78,+59.9%
IP,7c5c,3.04,3.60,+18.4%
IP,7d5d,3.04,3.60,+18.4%
IP,9c7c,3.07,5.20,+69.2%
IP,9d7d,3.07,5.20,+69.2%
IP,6c5c,3.67,3.67,-0.1%
IP,6d5d,3.67,3.67,-0.1%
IP,Tc7c,4.17,6.30,+51.0%
IP,Td7d,4.17,6.30,+51.0%
IP,8h7h,4.19,4.97,+18.6%
IP,8h6h,4.20,4.62,+10.1%
IP,7h6h,4.33,3.90,-10.0%
IP,Ac6c,4.40,6.73,+53.1%
IP,Ad6d,4.40,6.73,+53.1%
IP,Ac7c,4.43,7.01,+58.3%
IP,Ad7d,4.43,7.01,+58.3%
IP,9h6h,4.51,5.71,+26.6%
IP,9h7h,4.55,6.13,+34.8%
IP,5c3c,4.71,5.05,+7.3%
IP,5d3d,4.71,5.05,+7.3%
IP,7h5h,4.83,4.52,-6.5%
IP,Kc7c,4.85,6.91,+42.4%
IP,Kd7d,4.85,6.91,+42.4%
IP,Kc6c,4.88,6.66,+36.5%
IP,Kd6d,4.88,6.66,+36.5%
IP,Ac8c,5.08,7.75,+52.6%
IP,Ad8d,5.08,7.75,+52.6%
IP,Kc8c,5.11,7.16,+40.0%
IP,Kd8d,5.11,7.16,+40.0%
IP,6d6c,5.25,6.67,+27.1%
IP,5d5c,5.29,6.00,+13.5%
IP,Ac5c,5.34,7.03,+31.6%
IP,Ad5d,5.34,7.03,+31.6%
IP,Kc5c,5.42,6.71,+23.8%
IP,Kd5d,5.42,6.71,+23.8%
IP,6h5h,5.58,4.59,-17.7%
IP,5h5c,5.64,6.28,+11.3%
IP,5h5d,5.64,6.28,+11.3%
IP,Ac2c,5.65,7.37,+30.3%
IP,Ad2d,5.65,7.37,+30.3%
IP,Ac3c,5.67,7.37,+30.2%
IP,Ad3d,5.67,7.37,+30.2%
IP,Th7h,5.69,7.16,+25.9%
IP,6h6c,5.73,6.91,+20.6%
IP,6h6d,5.73,6.91,+20.6%
IP,Ac9c,5.80,8.47,+46.1%
IP,Ad9d,5.80,8.47,+46.1%
IP,2d2c,5.95,6.97,+17.1%
IP,3d3c,5.99,6.99,+16.7%
IP,2h2c,6.05,6.99,+15.5%
IP,2h2d,6.05,6.99,+15.5%
IP,3h3c,6.09,7.01,+15.1%
IP,3h3d,6.09,7.01,+15.1%
IP,5h3h,6.33,5.75,-9.2%
IP,7d7c,6.40,8.62,+34.7%
IP,Ah7h,6.58,8.05,+22.4%
IP,Ah6h,6.64,7.80,+17.4%
IP,Kh7h,6.70,7.83,+16.9%
IP,9c8c,6.78,7.26,+7.1%
IP,9d8d,6.78,7.26,+7.1%
IP,7h7c,6.86,8.81,+28.4%
IP,7h7d,6.86,8.81,+28.4%
IP,Kh6h,6.87,7.61,+10.9%
IP,Kh8h,6.92,8.22,+18.9%
IP,5s5c,7.01,8.08,+15.3%
IP,5s5d,7.01,8.08,+15.3%
IP,2s2c,7.14,7.54,+5.7%
IP,2s2d,7.14,7.54,+5.7%
IP,Ah8h,7.17,8.92,+24.4%
IP,3s3c,7.18,7.56,+5.4%
IP,3s3d,7.18,7.56,+5.4%
IP,6s6c,7.19,9.03,+25.6%
IP,6s6d,7.19,9.03,+25.6%
IP,2s2h,7.24,7.56,+4.4%
IP,3s3h,7.28,7.58,+4.1%
IP,Kh5h,7.38,7.58,+2.7%
IP,5s5h,7.60,8.45,+11.3%
IP,Ah5h,7.64,7.97,+4.4%
IP,8d8c,7.70,10.81,+40.4%
IP,6s6h,7.76,9.02,+16.2%
IP,Ah3h,7.79,8.29,+6.4%
IP,Ah2h,7.79,8.28,+6.3%
IP,Ah9h,7.88,9.58,+21.6%
IP,8h8c,8.20,11.13,+35.8%
IP,8h8d,8.20,11.13,+35.8%
IP,9h8h,8.32,8.33,+0.1%
IP,Ac4c,8.36,11.06,+32.3%
IP,Ad4d,8.36,11.06,+32.3%
IP,7s7c,8.58,11.16,+30.1%
IP,7s7d,8.58,11.16,+30.1%
IP,6c4c,8.91,9.37,+5.1%
IP,6d4d,8.91,9.37,+5.1%
IP,7s7h,8.96,11.18,+24.9%
IP,5c4c,9.37,9.36,-0.0%
IP,5d4d,9.37,9.36,-0.0%
IP,8s8c,9.85,14.20,+44.2%
IP,8s8d,9.85,14.20,+44.2%
IP,Kc9c,9.92,9.58,-3.4%
IP,Kd9d,9.92,9.58,-3.4%
IP,9d9c,9.93,13.52,+36.2%
IP,Tc8c,10.00,8.50,-15.0%
IP,Td8d,10.00,8.50,-15.0%
IP,8s8h,10.27,14.16,+38.0%
IP,9h9c,10.27,13.58,+32.2%
IP,9h9d,10.27,13.58,+32.2%
IP,AdTc,11.01,11.36,+3.2%
IP,AcTd,11.01,11.36,+3.2%
IP,AcTc,11.13,11.39,+2.3%
IP,AdTd,11.13,11.39,+2.3%
IP,AcTh,11.15,11.48,+2.9%
IP,AdTh,11.15,11.48,+2.9%
IP,AhTc,11.48,11.63,+1.3%
IP,AhTd,11.48,11.63,+1.3%
IP,9s9c,12.06,16.93,+40.4%
IP,9s9d,12.06,16.93,+40.4%
IP,9s9h,12.40,16.91,+36.4%
IP,Th8h,13.09,9.44,-27.9%
IP,Kh9h,13.45,10.52,-21.8%
IP,AcTs,13.75,12.94,-5.9%
IP,AdTs,13.75,12.94,-5.9%
IP,TdTc,13.83,20.10,+45.3%
IP,ThTc,13.84,20.23,+46.2%
IP,ThTd,13.84,20.23,+46.2%
IP,AhTs,14.15,12.92,-8.7%
IP,AhTh,15.41,13.40,-13.0%
IP,TsTc,16.36,21.45,+31.1%
IP,TsTd,16.36,21.45,+31.1%
IP,TsTh,16.50,21.58,+30.8%
IP,Jc9c,17.13,21.76,+27.1%
IP,Jd9d,17.13,21.76,+27.1%
IP,AdKc,17.14,16.49,-3.8%
IP,AcKd,17.14,16.49,-3.8%
IP,Jc8c,17.50,21.58,+23.3%
IP,Jd8d,17.50,21.58,+23.3%
IP,AcKh,17.54,16.75,-4.5%
IP,AdKh,17.54,16.75,-4.5%
IP,AhKc,17.54,16.51,-5.9%
IP,AhKd,17.54,16.51,-5.9%
IP,AsTc,18.19,14.98,-17.6%
IP,AsTd,18.19,14.98,-17.6%
IP,AsTh,18.37,15.07,-18.0%
IP,JcTc,18.79,24.19,+28.7%
IP,JdTd,18.79,24.19,+28.7%
IP,KdJc,19.45,26.40,+35.7%
IP,KcJd,19.45,26.40,+35.7%
IP,KcJc,19.48,26.38,+35.4%
IP,KdJd,19.48,26.38,+35.4%
IP,KcJh,19.72,26.45,+34.1%
IP,KdJh,19.72,26.45,+34.1%
IP,KhJc,19.74,26.55,+34.5%
IP,KhJd,19.74,26.55,+34.5%
IP,Tc9c,21.14,14.12,-33.2%
IP,Td9d,21.14,14.12,-33.2%
IP,AcKs,22.19,19.12,-13.9%
IP,AdKs,22.19,19.12,-13.9%
IP,AhKs,22.55,19.18,-14.9%
IP,Jh9h,22.80,23.39,+2.6%
IP,AcJc,22.82,28.69,+25.7%
IP,AdJd,22.82,28.69,+25.7%
IP,AdJc,22.83,28.69,+25.7%
IP,AcJd,22.83,28.69,+25.7%
IP,Jh8h,23.09,23.18,+0.4%
IP,AcJh,23.18,28.71,+23.9%
IP,AdJh,23.18,28.71,+23.9%
IP,AhJc,23.51,28.90,+22.9%
IP,AhJd,23.51,28.90,+22.9%
IP,AsKc,24.51,20.17,-17.7%
IP,AsKd,24.51,20.17,-17.7%
IP,KsJc,24.71,31.10,+25.8%
IP,KsJd,24.71,31.10,+25.8%
IP,Th9h,24.80,16.07,-35.2%
IP,AsKh,24.91,20.37,-18.2%
IP,JhTh,25.02,25.93,+3.6%
IP,KsJh,25.07,30.98,+23.6%
IP,7s6s,25.11,17.94,-28.5%
IP,7s5s,25.62,18.29,-28.6%
IP,8s6s,25.81,18.59,-28.0%
IP,KhJh,25.87,29.77,+15.1%
IP,KcTc,26.01,18.16,-30.2%
IP,KdTd,26.01,18.16,-30.2%
IP,8s7s,26.04,18.62,-28.5%
IP,9s6s,26.90,19.01,-29.3%
IP,9s7s,27.01,18.87,-30.1%
IP,5s3s,27.07,18.73,-30.8%
IP,6s5s,27.08,19.03,-29.7%
IP,Qc9c,27.79,30.75,+10.6%
IP,Qd9d,27.79,30.75,+10.6%
IP,Qc8c,27.93,30.49,+9.2%
IP,Qd8d,27.93,30.49,+9.2%
IP,Ts7s,28.90,19.74,-31.7%
IP,AhJh,29.45,31.66,+7.5%
IP,QcTc,29.96,33.01,+10.2%
IP,QdTd,29.96,33.01,+10.2%
IP,KhTh,30.03,20.15,-32.9%
IP,Ks7s,30.72,21.99,-28.4%
IP,Ks6s,30.79,22.36,-27.4%
IP,AsJc,30.82,33.25,+7.9%
IP,AsJd,30.82,33.25,+7.9%
IP,AsJh,31.17,33.17,+6.4%
IP,Ks8s,32.33,23.16,-28.4%
IP,Ks5s,32.62,23.07,-29.3%
IP,Qh8h,33.00,32.09,-2.8%
IP,Qh9h,33.07,32.35,-2.2%
IP,As7s,34.72,29.80,-14.2%
IP,As6s,34.72,28.79,-17.1%
IP,QhTh,35.79,34.69,-3.1%
IP,As8s,36.36,29.90,-17.8%
IP,As5s,37.04,31.16,-15.9%
IP,As9s,37.44,31.04,-17.1%
IP,KcQc,37.69,37.73,+0.1%
IP,KdQd,37.69,37.73,+0.1%
IP,KdQc,37.70,37.73,+0.1%
IP,KcQd,37.70,37.73,+0.1%
IP,KcQh,38.06,38.01,-0.1%
IP,KdQh,38.06,38.01,-0.1%
IP,KhQc,38.13,38.21,+0.2%
IP,KhQd,38.13,38.21,+0.2%
IP,As3s,38.22,33.43,-12.5%
IP,As2s,38.33,33.43,-12.8%
IP,9s8s,39.28,25.59,-34.9%
IP,KhQh,43.64,41.12,-5.8%
IP,KsQc,44.13,43.89,-0.5%
IP,KsQd,44.13,43.89,-0.5%
IP,KsQh,44.48,43.92,-1.2%
IP,Ks9s,45.04,34.54,-23.3%
IP,Ts8s,45.24,30.64,-32.3%
IP,6s4s,47.09,38.62,-18.0%
IP,5s4s,47.76,38.81,-18.7%
IP,AsTs,50.99,47.42,-7.0%
IP,AcQc,52.72,46.16,-12.5%
IP,AdQd,52.72,46.16,-12.5%
IP,AdQc,52.73,46.16,-12.5%
IP,AcQd,52.73,46.16,-12.5%
IP,AhQc,53.06,46.20,-12.9%
IP,AhQd,53.06,46.20,-12.9%
IP,AcQh,53.22,46.34,-12.9%
IP,AdQh,53.22,46.34,-12.9%
IP,As4s,55.75,50.59,-9.2%
IP,AhQh,58.24,49.49,-15.0%
IP,Ts9s,59.22,47.00,-20.6%
IP,AsQc,60.54,52.85,-12.7%
IP,AsQd,60.54,52.85,-12.7%
IP,AsQh,61.05,53.06,-13.1%
IP,KsTs,62.98,53.77,-14.6%
IP,QcJc,90.60,80.06,-11.6%
IP,QdJd,90.60,80.06,-11.6%
IP,QhJh,93.68,81.71,-12.8%
IP,4d4c,114.35,98.56,-13.8%
IP,4s4c,115.90,99.27,-14.4%
IP,4s4d,115.90,99.27,-14.4%
IP,JdJc,120.79,101.87,-15.7%
IP,JhJc,120.97,101.50,-16.1%
IP,JhJd,120.97,101.50,-16.1%
IP,QdQc,121.94,108.85,-10.7%
IP,QhQc,122.24,109.15,-10.7%
IP,QhQd,122.24,109.15,-10.7%
