牌面: 8h8s8d
牌面类型: 三条面
SPR: 5.0
位置,手牌,大桶,Draw,FullEV,DLEv,DLEv偏差%
OOP,5c4c,桶7:纯空气,None,5.32,5.42,+1.9%
OOP,5d4d,桶6:弱听牌,None,5.75,5.89,+2.5%
OOP,5h4h,桶6:弱听牌,None,5.75,5.89,+2.5%
OOP,5s4s,桶6:弱听牌,None,5.75,5.89,+2.5%
OOP,6d5d,桶6:弱听牌,None,7.01,6.34,-9.6%
OOP,6h5h,桶6:弱听牌,None,7.01,6.34,-9.6%
OOP,6s5s,桶6:弱听牌,None,7.01,6.34,-9.6%
OOP,6c5c,桶7:纯空气,None,7.05,5.67,-19.6%
OOP,7c5c,桶7:纯空气,None,7.98,6.08,-23.8%
OOP,7d5d,桶6:弱听牌,None,8.14,6.79,-16.6%
OOP,7h5h,桶6:弱听牌,None,8.14,6.79,-16.6%
OOP,7s5s,桶6:弱听牌,None,8.14,6.79,-16.6%
OOP,7d6d,桶6:弱听牌,None,9.53,7.51,-21.2%
OOP,7h6h,桶6:弱听牌,None,9.53,7.51,-21.2%
OOP,7s6s,桶6:弱听牌,None,9.53,7.51,-21.2%
OOP,9d6d,桶6:弱听牌,None,10.03,7.51,-25.2%
OOP,9h6h,桶6:弱听牌,None,10.03,7.51,-25.2%
OOP,9s6s,桶6:弱听牌,None,10.03,7.51,-25.2%
OOP,7c6c,桶7:纯空气,None,10.08,6.53,-35.2%
OOP,9c6c,桶7:纯空气,None,10.65,6.67,-37.3%
OOP,Ad4d,桶6:弱听牌,None,10.94,18.50,+69.1%
OOP,Ah4h,桶6:弱听牌,None,10.94,18.50,+69.1%
OOP,As4s,桶6:弱听牌,None,10.94,18.50,+69.1%
OOP,Ad5d,桶6:弱听牌,None,11.06,18.50,+67.3%
OOP,Ah5h,桶6:弱听牌,None,11.06,18.50,+67.3%
OOP,As5s,桶6:弱听牌,None,11.06,18.50,+67.3%
OOP,Ac4c,桶7:纯空气,None,11.38,17.90,+57.3%
OOP,9d7d,桶6:弱听牌,None,11.38,8.38,-26.4%
OOP,9h7h,桶6:弱听牌,None,11.38,8.38,-26.4%
OOP,9s7s,桶6:弱听牌,None,11.38,8.38,-26.4%
OOP,Ac5c,桶7:纯空气,None,11.47,17.83,+55.4%
OOP,9c7c,桶7:纯空气,None,11.88,6.99,-41.2%
OOP,JdTd,桶6:弱听牌,None,13.00,9.44,-27.4%
OOP,JhTh,桶6:弱听牌,None,13.00,9.44,-27.4%
OOP,JsTs,桶6:弱听牌,None,13.00,9.44,-27.4%
OOP,Kd9d,桶6:弱听牌,None,13.44,10.94,-18.6%
OOP,Kh9h,桶6:弱听牌,None,13.44,10.94,-18.6%
OOP,Ks9s,桶6:弱听牌,None,13.44,10.94,-18.6%
OOP,JcTc,桶7:纯空气,None,13.55,9.04,-33.3%
OOP,KdTd,桶6:弱听牌,None,13.55,11.40,-15.9%
OOP,KhTh,桶6:弱听牌,None,13.55,11.40,-15.9%
OOP,KsTs,桶6:弱听牌,None,13.55,11.40,-15.9%
OOP,QdTd,桶6:弱听牌,None,13.76,11.94,-13.2%
OOP,QhTh,桶6:弱听牌,None,13.76,11.94,-13.2%
OOP,QsTs,桶6:弱听牌,None,13.76,11.94,-13.2%
OOP,KhQd,桶7:纯空气,None,13.86,12.76,-8.0%
OOP,KsQd,桶7:纯空气,None,13.86,12.76,-8.0%
OOP,KdQh,桶7:纯空气,None,13.86,12.76,-8.0%
OOP,KsQh,桶7:纯空气,None,13.86,12.76,-8.0%
OOP,KdQs,桶7:纯空气,None,13.86,12.76,-8.0%
OOP,KhQs,桶7:纯空气,None,13.86,12.76,-8.0%
OOP,KdJd,桶6:弱听牌,None,13.88,12.03,-13.3%
OOP,KhJh,桶6:弱听牌,None,13.88,12.03,-13.3%
OOP,KsJs,桶6:弱听牌,None,13.88,12.03,-13.3%
OOP,Ad9d,桶6:弱听牌,None,13.98,20.55,+47.0%
OOP,Ah9h,桶6:弱听牌,None,13.98,20.55,+47.0%
OOP,As9s,桶6:弱听牌,None,13.98,20.55,+47.0%
OOP,KcTc,桶7:纯空气,None,14.07,10.95,-22.2%
OOP,QcTc,桶7:纯空气,None,14.30,10.65,-25.5%
OOP,Kc9c,桶7:纯空气,None,14.31,10.68,-25.3%
OOP,KdQc,桶7:纯空气,None,14.32,12.73,-11.1%
OOP,KhQc,桶7:纯空气,None,14.32,12.73,-11.1%
OOP,KsQc,桶7:纯空气,None,14.32,12.73,-11.1%
OOP,KcQd,桶7:纯空气,None,14.50,12.94,-10.8%
OOP,KcQh,桶7:纯空气,None,14.50,12.94,-10.8%
OOP,KcQs,桶7:纯空气,None,14.50,12.94,-10.8%
OOP,KdQd,桶6:弱听牌,None,14.55,13.67,-6.1%
OOP,KhQh,桶6:弱听牌,None,14.55,13.67,-6.1%
