牌面: AsJs9s
牌面类型: 单调面A
SPR: 5.0
位置,手牌,大桶,Draw,FullEV,DLEv,DLEv偏差%
OOP,6c5c,桶7:纯空气,None,1.78,3.13,+75.8%
OOP,6d5d,桶7:纯空气,None,1.78,3.13,+75.8%
OOP,6h5h,桶7:纯空气,None,1.78,3.13,+75.8%
OOP,7c6c,桶7:纯空气,None,2.22,3.54,+59.6%
OOP,7d6d,桶7:纯空气,None,2.22,3.54,+59.6%
OOP,7h6h,桶7:纯空气,None,2.22,3.54,+59.6%
OOP,7c5c,桶7:纯空气,None,2.37,3.57,+50.7%
OOP,7d5d,桶7:纯空气,None,2.37,3.57,+50.7%
OOP,7h5h,桶7:纯空气,None,2.37,3.57,+50.7%
OOP,8c6c,桶7:纯空气,None,2.73,4.10,+50.2%
OOP,8d6d,桶7:纯空气,None,2.73,4.10,+50.2%
OOP,8h6h,桶7:纯空气,None,2.73,4.10,+50.2%
OOP,8c5c,桶7:纯空气,None,2.77,4.10,+48.0%
OOP,8d5d,桶7:纯空气,None,2.77,4.10,+48.0%
OOP,8h5h,桶7:纯空气,None,2.77,4.10,+48.0%
OOP,5c4c,桶7:纯空气,None,2.98,3.27,+9.7%
OOP,5d4d,桶7:纯空气,None,2.98,3.27,+9.7%
OOP,5h4h,桶7:纯空气,None,2.98,3.27,+9.7%
OOP,6d6c,桶3:中等成牌,None,4.88,8.82,+80.7%
OOP,6h6c,桶3:中等成牌,None,4.88,8.82,+80.7%
OOP,6h6d,桶3:中等成牌,None,4.88,8.82,+80.7%
OOP,7d7c,桶3:中等成牌,None,5.70,9.92,+73.9%
OOP,7h7c,桶3:中等成牌,None,5.70,9.92,+73.9%
OOP,7h7d,桶3:中等成牌,None,5.70,9.92,+73.9%
OOP,8c7c,桶6:弱听牌,Gutshot,6.68,8.01,+19.9%
OOP,8d7d,桶6:弱听牌,Gutshot,6.68,8.01,+19.9%
OOP,8h7h,桶6:弱听牌,Gutshot,6.68,8.01,+19.9%
OOP,8d8c,桶3:中等成牌,None,6.69,11.13,+66.3%
OOP,8h8c,桶3:中等成牌,None,6.69,11.13,+66.3%
OOP,8h8d,桶3:中等成牌,None,6.69,11.13,+66.3%
OOP,KcQc,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KdQc,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KhQc,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KcQd,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KdQd,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KhQd,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KcQh,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KdQh,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,KhQh,桶5:常规强听牌,OESD,8.72,10.77,+23.5%
OOP,9c6c,桶3:中等成牌,None,9.50,13.21,+39.1%
OOP,9d6d,桶3:中等成牌,None,9.50,13.21,+39.1%
OOP,9h6h,桶3:中等成牌,None,9.50,13.21,+39.1%
OOP,KcTc,桶6:弱听牌,Gutshot,9.58,10.29,+7.4%
OOP,KdTd,桶6:弱听牌,Gutshot,9.58,10.29,+7.4%
OOP,KhTh,桶6:弱听牌,Gutshot,9.58,10.29,+7.4%
OOP,9c7c,桶3:中等成牌,None,9.62,13.41,+39.4%
OOP,9d7d,桶3:中等成牌,None,9.62,13.41,+39.4%
OOP,9h7h,桶3:中等成牌,None,9.62,13.41,+39.4%
OOP,9c8c,桶3:中等成牌,None,9.77,13.91,+42.4%
OOP,9d8d,桶3:中等成牌,None,9.77,13.91,+42.4%
OOP,9h8h,桶3:中等成牌,None,9.77,13.91,+42.4%
OOP,TdTc,桶3:中等成牌,None,10.42,15.69,+50.5%
OOP,ThTc,桶3:中等成牌,None,10.42,15.69,+50.5%
OOP,ThTd,桶3:中等成牌,None,10.42,15.69,+50.5%
OOP,Kc9c,桶3:中等成牌,None,10.70,14.96,+39.9%
OOP,Kd9d,桶3:中等成牌,None,10.70,14.96,+39.9%
OOP,Kh9h,桶3:中等成牌,None,10.70,14.96,+39.9%
OOP,KdKc,桶3:中等成牌,None,12.86,17.79,+38.4%
OOP,KhKc,桶3:中等成牌,None,12.86,17.79,+38.4%
OOP,KhKd,桶3:中等成牌,None,12.86,17.79,+38.4%
OOP,JcTc,桶3:中等成牌,None,13.05,18.78,+43.9%
OOP,JdTd,桶3:中等成牌,None,13.05,18.78,+43.9%
OOP,JhTh,桶3:中等成牌,None,13.05,18.78,+43.9%
OOP,KcJc,桶3:中等成牌,None,13.38,18.83,+40.7%
OOP,KdJd,桶3:中等成牌,None,13.38,18.83,+40.7%
OOP,KhJh,桶3:中等成牌,None,13.38,18.83,+40.7%
OOP,QcJc,桶3:中等成牌,None,13.41,19.25,+43.6%
OOP,QdJd,桶3:中等成牌,None,13.41,19.25,+43.6%
OOP,QhJh,桶3:中等成牌,None,13.41,19.25,+43.6%
OOP,QdQc,桶3:中等成牌,None,13.51,18.97,+40.5%
OOP,QhQc,桶3:中等成牌,None,13.51,18.97,+40.5%
OOP,QhQd,桶3:中等成牌,None,13.51,18.97,+40.5%
OOP,QcTc,桶5:常规强听牌,OESD,16.18,16.56,+2.3%
OOP,QdTd,桶5:常规强听牌,OESD,16.18,16.56,+2.3%
OOP,QhTh,桶5:常规强听牌,OESD,16.18,16.56,+2.3%
OOP,Ac5c,桶3:中等成牌,None,17.03,23.54,+38.2%
OOP,Ad5d,桶3:中等成牌,None,17.03,23.54,+38.2%
OOP,Ah5h,桶3:中等成牌,None,17.03,23.54,+38.2%
OOP,Ac4c,桶3:中等成牌,None,17.19,23.88,+38.9%
OOP,Ad4d,桶3:中等成牌,None,17.19,23.88,+38.9%
OOP,Ah4h,桶3:中等成牌,None,17.19,23.88,+38.9%
OOP,Ac8c,桶3:中等成牌,None,17.73,24.96,+40.8%
OOP,Ad8d,桶3:中等成牌,None,17.73,24.96,+40.8%
OOP,Ah8h,桶3:中等成牌,None,17.73,24.96,+40.8%
OOP,6s6c,桶4:超强听牌,FlushDraw,19.77,22.31,+12.8%
OOP,6s6d,桶4:超强听牌,FlushDraw,19.77,22.31,+12.8%
OOP,6s6h,桶4:超强听牌,FlushDraw,19.77,22.31,+12.8%
OOP,AcTc,桶3:中等成牌,None,20.23,27.82,+37.5%
OOP,AdTd,桶3:中等成牌,None,20.23,27.82,+37.5%
OOP,AhTh,桶3:中等成牌,None,20.23,27.82,+37.5%
OOP,7s7c,桶4:超强听牌,FlushDraw,21.88,24.06,+10.0%
OOP,7s7d,桶4:超强听牌,FlushDraw,21.88,24.06,+10.0%
OOP,7s7h,桶4:超强听牌,FlushDraw,21.88,24.06,+10.0%
OOP,AcQc,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AdQc,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AhQc,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AcQd,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AdQd,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AhQd,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AcQh,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AdQh,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AhQh,桶2:中等顶对,None,22.14,31.04,+40.2%
OOP,AcKc,桶2:中等顶对,None,23.74,32.58,+37.2%
OOP,AdKd,桶2:中等顶对,None,23.74,32.58,+37.2%
OOP,AhKh,桶2:中等顶对,None,23.74,32.58,+37.2%
OOP,AdKc,桶2:中等顶对,None,23.75,32.54,+37.0%
OOP,AhKc,桶2:中等顶对,None,23.75,32.54,+37.0%
OOP,AcKd,桶2:中等顶对,None,23.75,32.54,+37.0%
OOP,AhKd,桶2:中等顶对,None,23.75,32.54,+37.0%
OOP,AcKh,桶2:中等顶对,None,23.75,32.54,+37.0%
OOP,AdKh,桶2:中等顶对,None,23.75,32.54,+37.0%
OOP,8s8c,桶4:超强听牌,FlushDraw,24.56,25.97,+5.7%
OOP,8s8d,桶4:超强听牌,FlushDraw,24.56,25.97,+5.7%
OOP,8s8h,桶4:超强听牌,FlushDraw,24.56,25.97,+5.7%
OOP,TsTc,桶4:超强听牌,FlushDraw,31.02,29.90,-3.6%
OOP,TsTd,桶4:超强听牌,FlushDraw,31.02,29.90,-3.6%
OOP,TsTh,桶4:超强听牌,FlushDraw,31.02,29.90,-3.6%
OOP,KcQs,桶4:超强听牌,FDPlusSD,33.31,28.46,-14.6%
OOP,KdQs,桶4:超强听牌,FDPlusSD,33.31,28.46,-14.6%
OOP,KhQs,桶4:超强听牌,FDPlusSD,33.31,28.46,-14.6%
OOP,Ac9c,桶1:超强成牌,None,36.98,37.91,+2.5%
OOP,Ad9d,桶1:超强成牌,None,36.98,37.91,+2.5%
OOP,Ah9h,桶1:超强成牌,None,36.98,37.91,+2.5%
OOP,QsQc,桶4:超强听牌,FlushDraw,39.41,36.26,-8.0%
OOP,QsQd,桶4:超强听牌,FlushDraw,39.41,36.26,-8.0%
OOP,QsQh,桶4:超强听牌,FlushDraw,39.41,36.26,-8.0%
OOP,AcJc,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AdJc,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AhJc,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AcJd,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AdJd,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AhJd,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AcJh,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AdJh,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,AhJh,桶1:超强成牌,None,42.44,42.51,+0.2%
OOP,KsQc,桶4:超强听牌,FDPlusSD,43.66,33.00,-24.4%
OOP,KsQd,桶4:超强听牌,FDPlusSD,43.66,33.00,-24.4%
OOP,KsQh,桶4:超强听牌,FDPlusSD,43.66,33.00,-24.4%
OOP,AcQs,桶4:超强听牌,FlushDraw,47.35,45.40,-4.1%
OOP,AdQs,桶4:超强听牌,FlushDraw,47.35,45.40,-4.1%
OOP,AhQs,桶4:超强听牌,FlushDraw,47.35,45.40,-4.1%
OOP,KsKc,桶4:超强听牌,FlushDraw,48.90,40.83,-16.5%
OOP,KsKd,桶4:超强听牌,FlushDraw,48.90,40.83,-16.5%
OOP,KsKh,桶4:超强听牌,FlushDraw,48.90,40.83,-16.5%
OOP,AcKs,桶4:超强听牌,FlushDraw,59.60,51.65,-13.3%
OOP,AdKs,桶4:超强听牌,FlushDraw,59.60,51.65,-13.3%
OOP,AhKs,桶4:超强听牌,FlushDraw,59.60,51.65,-13.3%
OOP,9d9c,桶1:超强成牌,None,61.95,51.87,-16.3%
OOP,9h9c,桶1:超强成牌,None,61.95,51.87,-16.3%
OOP,9h9d,桶1:超强成牌,None,61.95,51.87,-16.3%
OOP,JdJc,桶1:超强成牌,None,66.97,54.71,-18.3%
OOP,JhJc,桶1:超强成牌,None,66.97,54.71,-18.3%
OOP,JhJd,桶1:超强成牌,None,66.97,54.71,-18.3%
OOP,5s4s,桶1:超强成牌,None,67.63,54.20,-19.9%
OOP,AdAc,桶1:超强成牌,None,70.47,54.83,-22.2%
OOP,AhAc,桶1:超强成牌,None,70.47,54.83,-22.2%
OOP,AhAd,桶1:超强成牌,None,70.47,54.83,-22.2%
OOP,6s5s,桶1:超强成牌,None,71.81,56.69,-21.1%
OOP,7s5s,桶1:超强成牌,None,74.66,58.42,-21.8%
OOP,7s6s,桶1:超强成牌,None,77.23,60.90,-21.1%
OOP,8s5s,桶1:超强成牌,None,78.97,62.57,-20.8%
OOP,8s6s,桶1:超强成牌,None,80.25,63.67,-20.7%
OOP,8s7s,桶1:超强成牌,Gutshot,84.57,67.12,-20.6%
OOP,QsTs,桶1:超强成牌,OESD,91.62,72.43,-20.9%
OOP,KsQs,桶1:超强成牌,OESD,100.88,77.65,-23.0%
OOP,KsTs,桶1:超强成牌,Gutshot,101.54,78.40,-22.8%
IP,6c4c,桶7:纯空气,None,1.92,3.39,+76.6%
IP,6d4d,桶7:纯空气,None,1.92,3.39,+76.6%
IP,6h4h,桶7:纯空气,None,1.92,3.39,+76.6%
IP,6c5c,桶7:纯空气,None,2.00,3.18,+59.1%
IP,6d5d,桶7:纯空气,None,2.00,3.18,+59.1%
IP,6h5h,桶7:纯空气,None,2.00,3.18,+59.1%
IP,7c6c,桶7:纯空气,None,2.33,3.76,+61.4%
IP,7d6d,桶7:纯空气,None,2.33,3.76,+61.4%
IP,7h6h,桶7:纯空气,None,2.33,3.76,+61.4%
IP,Kc6c,桶7:纯空气,None,2.50,6.05,+142.2%
IP,Kd6d,桶7:纯空气,None,2.50,6.05,+142.2%
IP,Kh6h,桶7:纯空气,None,2.50,6.05,+142.2%
IP,7c5c,桶7:纯空气,None,2.63,3.91,+48.8%
IP,7d5d,桶7:纯空气,None,2.63,3.91,+48.8%
IP,7h5h,桶7:纯空气,None,2.63,3.91,+48.8%
IP,Kc5c,桶7:纯空气,None,2.77,5.98,+116.1%
IP,Kd5d,桶7:纯空气,None,2.77,5.98,+116.1%
IP,Kh5h,桶7:纯空气,None,2.77,5.98,+116.1%
IP,8c6c,桶7:纯空气,None,2.92,4.87,+66.7%
IP,8d6d,桶7:纯空气,None,2.92,4.87,+66.7%
IP,8h6h,桶7:纯空气,None,2.92,4.87,+66.7%
IP,Kc7c,桶7:纯空气,None,2.94,6.57,+123.4%
IP,Kd7d,桶7:纯空气,None,2.94,6.57,+123.4%
IP,Kh7h,桶7:纯空气,None,2.94,6.57,+123.4%
IP,5c4c,桶7:纯空气,None,3.09,4.77,+54.4%
IP,5d4d,桶7:纯空气,None,3.09,4.77,+54.4%
IP,5h4h,桶7:纯空气,None,3.09,4.77,+54.4%
IP,5c3c,桶7:纯空气,None,3.20,4.64,+44.9%
IP,5d3d,桶7:纯空气,None,3.20,4.64,+44.9%
IP,5h3h,桶7:纯空气,None,3.20,4.64,+44.9%
IP,Kc8c,桶7:纯空气,None,3.28,6.82,+107.8%
IP,Kd8d,桶7:纯空气,None,3.28,6.82,+107.8%
IP,Kh8h,桶7:纯空气,None,3.28,6.82,+107.8%
IP,6d6c,桶3:中等成牌,None,4.59,6.78,+47.8%
IP,6h6c,桶3:中等成牌,None,4.59,6.78,+47.8%
IP,6h6d,桶3:中等成牌,None,4.59,6.78,+47.8%
IP,5d5c,桶3:中等成牌,None,4.80,6.11,+27.2%
IP,5h5c,桶3:中等成牌,None,4.80,6.11,+27.2%
IP,5h5d,桶3:中等成牌,None,4.80,6.11,+27.2%
IP,4d4c,桶3:中等成牌,None,5.54,6.96,+25.7%
IP,4h4c,桶3:中等成牌,None,5.54,6.96,+25.7%
IP,4h4d,桶3:中等成牌,None,5.54,6.96,+25.7%
IP,7d7c,桶3:中等成牌,None,5.67,8.56,+51.1%
IP,7h7c,桶3:中等成牌,None,5.67,8.56,+51.1%
IP,7h7d,桶3:中等成牌,None,5.67,8.56,+51.1%
IP,2d2c,桶3:中等成牌,None,6.43,7.11,+10.6%
IP,2h2c,桶3:中等成牌,None,6.43,7.11,+10.6%
IP,2h2d,桶3:中等成牌,None,6.43,7.11,+10.6%
IP,3d3c,桶3:中等成牌,None,6.44,7.11,+10.4%
IP,3h3c,桶3:中等成牌,None,6.44,7.11,+10.4%
IP,3h3d,桶3:中等成牌,None,6.44,7.11,+10.4%
IP,8d8c,桶3:中等成牌,None,6.76,10.05,+48.7%
IP,8h8c,桶3:中等成牌,None,6.76,10.05,+48.7%
IP,8h8d,桶3:中等成牌,None,6.76,10.05,+48.7%
IP,8c7c,桶6:弱听牌,Gutshot,7.50,7.45,-0.7%
IP,8d7d,桶6:弱听牌,Gutshot,7.50,7.45,-0.7%
IP,8h7h,桶6:弱听牌,Gutshot,7.50,7.45,-0.7%
IP,Qc8c,桶6:弱听牌,Gutshot,8.03,9.06,+12.9%
IP,Qd8d,桶6:弱听牌,Gutshot,8.03,9.06,+12.9%
IP,Qh8h,桶6:弱听牌,Gutshot,8.03,9.06,+12.9%
IP,Tc7c,桶6:弱听牌,Gutshot,9.36,9.00,-3.8%
IP,Td7d,桶6:弱听牌,Gutshot,9.36,9.00,-3.8%
IP,Th7h,桶6:弱听牌,Gutshot,9.36,9.00,-3.8%
IP,KcQc,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KdQc,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KhQc,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KcQd,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KdQd,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KhQd,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KcQh,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KdQh,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,KhQh,桶5:常规强听牌,OESD,9.40,11.03,+17.4%
IP,9c6c,桶3:中等成牌,None,9.72,12.23,+25.8%
IP,9d6d,桶3:中等成牌,None,9.72,12.23,+25.8%
IP,9h6h,桶3:中等成牌,None,9.72,12.23,+25.8%
IP,9c7c,桶3:中等成牌,None,9.88,12.65,+28.1%
IP,9d7d,桶3:中等成牌,None,9.88,12.65,+28.1%
IP,9h7h,桶3:中等成牌,None,9.88,12.65,+28.1%
IP,KcTc,桶6:弱听牌,Gutshot,9.90,10.18,+2.8%
IP,KdTd,桶6:弱听牌,Gutshot,9.90,10.18,+2.8%
IP,KhTh,桶6:弱听牌,Gutshot,9.90,10.18,+2.8%
IP,9c8c,桶3:中等成牌,None,9.92,12.95,+30.6%
IP,9d8d,桶3:中等成牌,None,9.92,12.95,+30.6%
IP,9h8h,桶3:中等成牌,None,9.92,12.95,+30.6%
IP,TdTc,桶3:中等成牌,None,10.26,14.79,+44.1%
IP,ThTc,桶3:中等成牌,None,10.26,14.79,+44.1%
IP,ThTd,桶3:中等成牌,None,10.26,14.79,+44.1%
IP,Qc9c,桶3:中等成牌,None,10.55,14.39,+36.4%
IP,Qd9d,桶3:中等成牌,None,10.55,14.39,+36.4%
IP,Qh9h,桶3:中等成牌,None,10.55,14.39,+36.4%
IP,Kc9c,桶3:中等成牌,None,10.68,14.36,+34.4%
IP,Kd9d,桶3:中等成牌,None,10.68,14.36,+34.4%
IP,Kh9h,桶3:中等成牌,None,10.68,14.36,+34.4%
IP,Tc9c,桶3:中等成牌,None,11.00,14.26,+29.6%
IP,Td9d,桶3:中等成牌,None,11.00,14.26,+29.6%
IP,Th9h,桶3:中等成牌,None,11.00,14.26,+29.6%
IP,Jc8c,桶3:中等成牌,None,12.00,15.60,+30.0%
IP,Jd8d,桶3:中等成牌,None,12.00,15.60,+30.0%
IP,Jh8h,桶3:中等成牌,None,12.00,15.60,+30.0%
IP,JcTc,桶3:中等成牌,None,12.76,16.96,+32.9%
IP,JdTd,桶3:中等成牌,None,12.76,16.96,+32.9%
IP,JhTh,桶3:中等成牌,None,12.76,16.96,+32.9%
IP,QdQc,桶3:中等成牌,None,12.81,17.29,+34.9%
IP,QhQc,桶3:中等成牌,None,12.81,17.29,+34.9%
IP,QhQd,桶3:中等成牌,None,12.81,17.29,+34.9%
IP,QcJc,桶3:中等成牌,None,12.95,17.54,+35.5%
IP,QdJd,桶3:中等成牌,None,12.95,17.54,+35.5%
IP,QhJh,桶3:中等成牌,None,12.95,17.54,+35.5%
IP,KdJc,桶3:中等成牌,None,12.99,17.08,+31.5%
IP,KhJc,桶3:中等成牌,None,12.99,17.08,+31.5%
IP,KcJd,桶3:中等成牌,None,12.99,17.08,+31.5%
IP,KhJd,桶3:中等成牌,None,12.99,17.08,+31.5%
IP,KcJh,桶3:中等成牌,None,12.99,17.08,+31.5%
IP,KdJh,桶3:中等成牌,None,12.99,17.08,+31.5%
IP,KcJc,桶3:中等成牌,None,13.06,17.14,+31.2%
IP,KdJd,桶3:中等成牌,None,13.06,17.14,+31.2%
IP,KhJh,桶3:中等成牌,None,13.06,17.14,+31.2%
IP,2s2c,桶4:超强听牌,FlushDraw,15.46,15.86,+2.6%
IP,2s2d,桶4:超强听牌,FlushDraw,15.46,15.86,+2.6%
IP,2s2h,桶4:超强听牌,FlushDraw,15.46,15.86,+2.6%
IP,3s3c,桶4:超强听牌,FlushDraw,15.80,16.06,+1.7%
IP,3s3d,桶4:超强听牌,FlushDraw,15.80,16.06,+1.7%
IP,3s3h,桶4:超强听牌,FlushDraw,15.80,16.06,+1.7%
IP,4s4c,桶4:超强听牌,FlushDraw,16.05,16.27,+1.4%
IP,4s4d,桶4:超强听牌,FlushDraw,16.05,16.27,+1.4%
IP,4s4h,桶4:超强听牌,FlushDraw,16.05,16.27,+1.4%
IP,Ac6c,桶3:中等成牌,None,16.86,22.99,+36.4%
IP,Ad6d,桶3:中等成牌,None,16.86,22.99,+36.4%
IP,Ah6h,桶3:中等成牌,None,16.86,22.99,+36.4%
IP,Ac5c,桶3:中等成牌,None,16.95,23.25,+37.2%
IP,Ad5d,桶3:中等成牌,None,16.95,23.25,+37.2%
IP,Ah5h,桶3:中等成牌,None,16.95,23.25,+37.2%
IP,Tc8c,桶5:常规强听牌,OESD,16.97,11.78,-30.6%
IP,Td8d,桶5:常规强听牌,OESD,16.97,11.78,-30.6%
IP,Th8h,桶5:常规强听牌,OESD,16.97,11.78,-30.6%
IP,Ac7c,桶3:中等成牌,None,17.11,23.49,+37.3%
IP,Ad7d,桶3:中等成牌,None,17.11,23.49,+37.3%
IP,Ah7h,桶3:中等成牌,None,17.11,23.49,+37.3%
IP,Ac4c,桶3:中等成牌,None,17.21,23.81,+38.4%
IP,Ad4d,桶3:中等成牌,None,17.21,23.81,+38.4%
IP,Ah4h,桶3:中等成牌,None,17.21,23.81,+38.4%
IP,Ac2c,桶3:中等成牌,None,17.33,24.04,+38.7%
IP,Ad2d,桶3:中等成牌,None,17.33,24.04,+38.7%
IP,Ah2h,桶3:中等成牌,None,17.33,24.04,+38.7%
IP,Ac3c,桶3:中等成牌,None,17.34,24.04,+38.6%
IP,Ad3d,桶3:中等成牌,None,17.34,24.04,+38.6%
IP,Ah3h,桶3:中等成牌,None,17.34,24.04,+38.6%
IP,5s5c,桶4:超强听牌,FlushDraw,17.59,16.70,-5.1%
IP,5s5d,桶4:超强听牌,FlushDraw,17.59,16.70,-5.1%
IP,5s5h,桶4:超强听牌,FlushDraw,17.59,16.70,-5.1%
IP,Ac8c,桶3:中等成牌,None,17.61,24.37,+38.4%
IP,Ad8d,桶3:中等成牌,None,17.61,24.37,+38.4%
