牌面: KhKc5c
牌面类型: 对子两同花
SPR: 5.0
位置,手牌,大桶,Draw,FullEV,DLEv,DLEv偏差%
OOP,8d6d,桶7:纯空气,None,5.30,6.27,+18.3%
OOP,8s6s,桶7:纯空气,None,5.30,6.27,+18.3%
OOP,9d6d,桶7:纯空气,None,5.43,6.21,+14.3%
OOP,9s6s,桶7:纯空气,None,5.43,6.21,+14.3%
OOP,8d7d,桶7:纯空气,None,5.56,6.35,+14.3%
OOP,8s7s,桶7:纯空气,None,5.56,6.35,+14.3%
OOP,Ad4d,桶7:纯空气,None,5.66,9.25,+63.5%
OOP,As4s,桶7:纯空气,None,5.66,9.25,+63.5%
OOP,9d7d,桶7:纯空气,None,5.70,6.37,+11.7%
OOP,9s7s,桶7:纯空气,None,5.70,6.37,+11.7%
OOP,7d6d,桶7:纯空气,None,5.72,6.60,+15.3%
OOP,7s6s,桶7:纯空气,None,5.72,6.60,+15.3%
OOP,9d8d,桶7:纯空气,None,5.87,6.41,+9.2%
OOP,9s8s,桶7:纯空气,None,5.87,6.41,+9.2%
OOP,Ad8d,桶7:纯空气,None,6.06,10.12,+67.0%
OOP,As8s,桶7:纯空气,None,6.06,10.12,+67.0%
OOP,Ad9d,桶7:纯空气,None,6.70,10.34,+54.4%
OOP,As9s,桶7:纯空气,None,6.70,10.34,+54.4%
OOP,9h6h,桶6:弱听牌,None,6.92,7.35,+6.2%
OOP,8h6h,桶6:弱听牌,None,6.98,7.24,+3.7%
OOP,9h7h,桶6:弱听牌,None,7.21,7.65,+6.2%
OOP,8h7h,桶6:弱听牌,None,7.27,7.43,+2.2%
OOP,7h6h,桶6:弱听牌,None,7.35,7.50,+2.1%
OOP,9h8h,桶6:弱听牌,None,7.50,7.78,+3.7%
OOP,AdTd,桶7:纯空气,None,7.61,11.30,+48.5%
OOP,AsTs,桶7:纯空气,None,7.61,11.30,+48.5%
OOP,Ah4h,桶6:弱听牌,None,8.04,10.05,+25.0%
OOP,JdTd,桶7:纯空气,None,8.39,9.33,+11.2%
OOP,JsTs,桶7:纯空气,None,8.39,9.33,+11.2%
OOP,Ah8h,桶6:弱听牌,None,8.40,11.18,+33.1%
OOP,AdJd,桶7:纯空气,None,8.45,13.14,+55.5%
OOP,AsJd,桶7:纯空气,None,8.45,13.14,+55.5%
OOP,AdJs,桶7:纯空气,None,8.45,13.14,+55.5%
OOP,AsJs,桶7:纯空气,None,8.45,13.14,+55.5%
OOP,AdJh,桶7:纯空气,None,8.61,13.25,+53.9%
OOP,AsJh,桶7:纯空气,None,8.61,13.25,+53.9%
OOP,Ah9h,桶6:弱听牌,None,8.87,11.58,+30.6%
OOP,QdTd,桶7:纯空气,None,8.98,9.51,+5.9%
OOP,QsTs,桶7:纯空气,None,8.98,9.51,+5.9%
OOP,AhJd,桶7:纯空气,None,9.16,13.39,+46.2%
OOP,AhJs,桶7:纯空气,None,9.16,13.39,+46.2%
OOP,AhTh,桶6:弱听牌,None,9.71,13.29,+36.9%
OOP,QdJd,桶7:纯空气,None,9.73,10.75,+10.5%
OOP,QsJs,桶7:纯空气,None,9.73,10.75,+10.5%
OOP,JhTh,桶6:弱听牌,None,9.92,10.96,+10.5%
OOP,AdQd,桶7:纯空气,None,10.09,15.82,+56.8%
OOP,AsQd,桶7:纯空气,None,10.09,15.82,+56.8%
OOP,AdQs,桶7:纯空气,None,10.09,15.82,+56.8%
OOP,AsQs,桶7:纯空气,None,10.09,15.82,+56.8%
OOP,5d4d,桶3:中等成牌,None,10.24,16.17,+57.9%
OOP,5s4s,桶3:中等成牌,None,10.24,16.17,+57.9%
OOP,AdQh,桶7:纯空气,None,10.27,15.86,+54.4%
OOP,AsQh,桶7:纯空气,None,10.27,15.86,+54.4%
OOP,AdJc,桶6:弱听牌,None,10.43,15.87,+52.2%
OOP,AsJc,桶6:弱听牌,None,10.43,15.87,+52.2%
OOP,QhTh,桶6:弱听牌,None,10.60,11.29,+6.6%
OOP,6d5d,桶3:中等成牌,None,10.82,17.33,+60.1%
OOP,6s5s,桶3:中等成牌,None,10.82,17.33,+60.1%
OOP,AhQd,桶7:纯空气,None,10.87,16.30,+50.0%
