牌面: KhKd5c
牌面类型: 对子彩虹
SPR: 5.0
位置,手牌,大桶,Draw,FullEV,DLEv,DLEv偏差%
OOP,9s6s,桶7:纯空气,None,5.59,6.79,+21.5%
OOP,8s6s,桶7:纯空气,None,5.61,6.71,+19.5%
OOP,As4s,桶7:纯空气,None,5.62,10.85,+93.1%
OOP,8s7s,桶7:纯空气,None,5.92,6.82,+15.2%
OOP,9s7s,桶7:纯空气,None,5.93,6.88,+16.0%
OOP,9s8s,桶7:纯空气,None,6.09,6.98,+14.6%
OOP,7s6s,桶7:纯空气,None,6.13,7.10,+15.8%
OOP,As8s,桶7:纯空气,None,6.27,11.98,+91.1%
OOP,As9s,桶7:纯空气,None,6.82,12.39,+81.6%
OOP,9d6d,桶6:弱听牌,None,7.33,8.01,+9.3%
OOP,9h6h,桶6:弱听牌,None,7.33,8.01,+9.3%
OOP,8d6d,桶6:弱听牌,None,7.42,7.92,+6.7%
OOP,8h6h,桶6:弱听牌,None,7.42,7.92,+6.7%
OOP,9c6c,桶6:弱听牌,None,7.49,8.07,+7.7%
OOP,8c6c,桶6:弱听牌,None,7.51,7.96,+6.0%
OOP,9d7d,桶6:弱听牌,None,7.68,8.27,+7.7%
OOP,9h7h,桶6:弱听牌,None,7.68,8.27,+7.7%
OOP,AsTs,桶7:纯空气,None,7.71,13.36,+73.3%
OOP,8d7d,桶6:弱听牌,None,7.76,8.16,+5.2%
OOP,8h7h,桶6:弱听牌,None,7.76,8.16,+5.2%
OOP,8c7c,桶6:弱听牌,None,7.83,8.21,+4.8%
OOP,9c7c,桶6:弱听牌,None,7.83,8.34,+6.5%
OOP,7d6d,桶6:弱听牌,None,7.89,8.28,+4.9%
OOP,7h6h,桶6:弱听牌,None,7.89,8.28,+4.9%
OOP,9c8c,桶6:弱听牌,None,7.99,8.41,+5.3%
OOP,9d8d,桶6:弱听牌,None,7.99,8.32,+4.1%
OOP,9h8h,桶6:弱听牌,None,7.99,8.32,+4.1%
OOP,Ac4c,桶6:弱听牌,None,8.13,11.56,+42.1%
OOP,7c6c,桶6:弱听牌,None,8.21,8.32,+1.4%
OOP,Ad4d,桶6:弱听牌,None,8.48,11.60,+36.8%
OOP,Ah4h,桶6:弱听牌,None,8.48,11.60,+36.8%
OOP,AsJs,桶7:纯空气,None,8.58,15.19,+77.0%
OOP,Ac8c,桶6:弱听牌,None,8.61,12.74,+48.0%
OOP,JsTs,桶7:纯空气,None,8.67,9.42,+8.7%
OOP,AsJd,桶7:纯空气,None,8.76,15.40,+75.8%
OOP,AsJh,桶7:纯空气,None,8.76,15.40,+75.8%
OOP,Ad8d,桶6:弱听牌,None,8.86,12.87,+45.3%
OOP,Ah8h,桶6:弱听牌,None,8.86,12.87,+45.3%
OOP,AsJc,桶7:纯空气,None,8.88,15.42,+73.6%
OOP,Ac9c,桶6:弱听牌,None,9.17,13.31,+45.1%
OOP,AcJs,桶7:纯空气,None,9.23,15.24,+65.2%
OOP,Ad9d,桶6:弱听牌,None,9.26,13.50,+45.8%
OOP,Ah9h,桶6:弱听牌,None,9.26,13.50,+45.8%
OOP,AcJd,桶7:纯空气,None,9.40,15.47,+64.6%
OOP,AcJh,桶7:纯空气,None,9.40,15.47,+64.6%
OOP,AdJs,桶7:纯空气,None,9.47,15.68,+65.6%
