牌面: QhJs4s
牌面类型: 两同花B
SPR: 5.0
位置,手牌,大桶,Draw,FullEV,DLEv,DLEv偏差%
OOP,8c6c,桶7:纯空气,None,2.46,4.68,+90.1%
OOP,8d6d,桶7:纯空气,None,2.46,4.68,+90.1%
OOP,7c6c,桶7:纯空气,None,2.58,4.47,+73.1%
OOP,7d6d,桶7:纯空气,None,2.58,4.47,+73.1%
OOP,8c7c,桶7:纯空气,None,2.60,4.92,+89.2%
OOP,8d7d,桶7:纯空气,None,2.60,4.92,+89.2%
OOP,8c5c,桶7:纯空气,None,2.63,4.59,+74.4%
OOP,8d5d,桶7:纯空气,None,2.63,4.59,+74.4%
OOP,7c5c,桶7:纯空气,None,2.80,4.42,+57.7%
OOP,7d5d,桶7:纯空气,None,2.80,4.42,+57.7%
OOP,9c6c,桶7:纯空气,None,2.80,5.15,+83.9%
OOP,9d6d,桶7:纯空气,None,2.80,5.15,+83.9%
OOP,9c7c,桶7:纯空气,None,2.97,5.44,+83.0%
OOP,9d7d,桶7:纯空气,None,2.97,5.44,+83.0%
OOP,6c5c,桶7:纯空气,None,3.46,4.56,+31.9%
OOP,6d5d,桶7:纯空气,None,3.46,4.56,+31.9%
OOP,8h6h,桶6:弱听牌,None,4.26,5.48,+28.7%
OOP,8h7h,桶6:弱听牌,None,4.35,5.74,+32.0%
OOP,8h5h,桶6:弱听牌,None,4.48,5.41,+20.8%
OOP,9h6h,桶6:弱听牌,None,4.52,5.90,+30.5%
OOP,7h6h,桶6:弱听牌,None,4.58,5.31,+16.0%
OOP,9h7h,桶6:弱听牌,None,4.61,6.24,+35.3%
OOP,7h5h,桶6:弱听牌,None,4.84,5.26,+8.7%
OOP,Ac5c,桶7:纯空气,None,5.86,8.65,+47.7%
OOP,Ad5d,桶7:纯空气,None,5.86,8.65,+47.7%
OOP,6h5h,桶6:弱听牌,None,5.87,5.35,-8.8%
OOP,Ac8c,桶7:纯空气,None,6.11,9.56,+56.4%
OOP,Ad8d,桶7:纯空气,None,6.11,9.56,+56.4%
OOP,Ac9c,桶7:纯空气,None,6.76,9.97,+47.5%
OOP,Ad9d,桶7:纯空气,None,6.76,9.97,+47.5%
OOP,6d6c,桶3:中等成牌,None,7.77,13.87,+78.5%
OOP,6h6c,桶3:中等成牌,None,8.07,13.91,+72.4%
OOP,6h6d,桶3:中等成牌,None,8.07,13.91,+72.4%
OOP,9c8c,桶6:弱听牌,Gutshot,8.21,8.25,+0.5%
OOP,9d8d,桶6:弱听牌,Gutshot,8.21,8.25,+0.5%
OOP,Ah8h,桶6:弱听牌,None,8.74,10.28,+17.6%
OOP,Ah5h,桶6:弱听牌,None,8.75,9.53,+8.9%
OOP,7d7c,桶3:中等成牌,None,8.98,15.09,+68.1%
OOP,7h7c,桶3:中等成牌,None,9.28,15.08,+62.5%
OOP,7h7d,桶3:中等成牌,None,9.28,15.08,+62.5%
OOP,Ah9h,桶6:弱听牌,None,9.41,10.82,+14.9%
OOP,8d8c,桶3:中等成牌,None,10.37,17.51,+68.9%
OOP,6s6c,桶3:中等成牌,None,10.42,15.11,+45.0%
OOP,6s6d,桶3:中等成牌,None,10.42,15.11,+45.0%
OOP,6s6h,桶3:中等成牌,None,10.61,15.23,+43.6%
OOP,8h8c,桶3:中等成牌,None,10.61,17.44,+64.4%
OOP,8h8d,桶3:中等成牌,None,10.61,17.44,+64.4%
OOP,9h8h,桶6:弱听牌,Gutshot,10.97,10.00,-8.9%
OOP,7s7c,桶3:中等成牌,None,11.40,16.68,+46.4%
OOP,7s7d,桶3:中等成牌,None,11.40,16.68,+46.4%
OOP,7s7h,桶3:中等成牌,None,11.62,16.84,+44.9%
OOP,Kc9c,桶6:弱听牌,Gutshot,11.81,12.13,+2.7%
OOP,Kd9d,桶6:弱听牌,Gutshot,11.81,12.13,+2.7%
OOP,9d9c,桶3:中等成牌,None,12.07,19.84,+64.4%
OOP,9h9c,桶3:中等成牌,None,12.12,19.77,+63.1%
OOP,9h9d,桶3:中等成牌,None,12.12,19.77,+63.1%
OOP,8s8c,桶3:中等成牌,None,12.87,19.68,+52.9%
OOP,8s8d,桶3:中等成牌,None,12.87,19.68,+52.9%
OOP,8s8h,桶3:中等成牌,None,12.97,19.63,+51.4%
OOP,Ac4c,桶3:中等成牌,None,13.94,17.24,+23.7%
OOP,Ad4d,桶3:中等成牌,None,13.94,17.24,+23.7%
OOP,5c4c,桶3:中等成牌,None,14.06,14.85,+5.6%
OOP,5d4d,桶3:中等成牌,None,14.06,14.85,+5.6%
OOP,9s9c,桶3:中等成牌,None,14.63,21.93,+49.9%
OOP,9s9d,桶3:中等成牌,None,14.63,21.93,+49.9%
OOP,9s9h,桶3:中等成牌,None,14.71,21.96,+49.3%
OOP,ThTc,桶3:中等成牌,None,14.93,23.17,+55.2%
OOP,ThTd,桶3:中等成牌,None,14.93,23.17,+55.2%
OOP,TdTc,桶3:中等成牌,None,14.95,23.27,+55.7%
OOP,Kh9h,桶6:弱听牌,Gutshot,15.47,14.22,-8.1%
OOP,AcTc,桶6:弱听牌,Gutshot,15.96,17.16,+7.5%
OOP,AdTd,桶6:弱听牌,Gutshot,15.96,17.16,+7.5%
OOP,TsTc,桶3:中等成牌,None,17.58,25.35,+44.2%
OOP,TsTd,桶3:中等成牌,None,17.58,25.35,+44.2%
OOP,TsTh,桶3:中等成牌,None,17.62,25.25,+43.3%
OOP,AcKc,桶5:常规强听牌,OESD,17.86,22.99,+28.7%
