牌面: QsJs4h
牌面类型: 两同花A
SPR: 5.0
位置,手牌,大桶,Draw,FullEV,DLEv,DLEv偏差%
OOP,8c6c,桶7:纯空气,None,2.48,4.45,+79.3%
OOP,8d6d,桶7:纯空气,None,2.48,4.45,+79.3%
OOP,8c7c,桶7:纯空气,None,2.60,4.66,+79.4%
OOP,8d7d,桶7:纯空气,None,2.60,4.66,+79.4%
OOP,7c6c,桶7:纯空气,None,2.62,4.26,+62.5%
OOP,7d6d,桶7:纯空气,None,2.62,4.26,+62.5%
OOP,8c5c,桶7:纯空气,None,2.64,4.35,+64.7%
OOP,8d5d,桶7:纯空气,None,2.64,4.35,+64.7%
OOP,9c6c,桶7:纯空气,None,2.80,4.91,+75.4%
OOP,9d6d,桶7:纯空气,None,2.80,4.91,+75.4%
OOP,7c5c,桶7:纯空气,None,2.82,4.21,+49.4%
OOP,7d5d,桶7:纯空气,None,2.82,4.21,+49.4%
OOP,9c7c,桶7:纯空气,None,2.94,5.18,+76.1%
OOP,9d7d,桶7:纯空气,None,2.94,5.18,+76.1%
OOP,6c5c,桶7:纯空气,None,3.53,4.38,+24.0%
OOP,6d5d,桶7:纯空气,None,3.53,4.38,+24.0%
OOP,8h6h,桶6:弱听牌,None,4.18,5.28,+26.3%
OOP,8h7h,桶6:弱听牌,None,4.22,5.51,+30.5%
OOP,8h5h,桶6:弱听牌,None,4.38,5.18,+18.2%
OOP,9h6h,桶6:弱听牌,None,4.45,5.64,+26.7%
OOP,9h7h,桶6:弱听牌,None,4.47,5.91,+32.3%
OOP,7h6h,桶6:弱听牌,None,4.51,5.10,+13.2%
OOP,7h5h,桶6:弱听牌,None,4.74,5.03,+6.2%
OOP,Ac5c,桶7:纯空气,None,5.88,8.26,+40.4%
OOP,Ad5d,桶7:纯空气,None,5.88,8.26,+40.4%
OOP,6h5h,桶6:弱听牌,None,5.90,5.14,-12.9%
OOP,Ac8c,桶7:纯空气,None,6.09,9.16,+50.5%
OOP,Ad8d,桶7:纯空气,None,6.09,9.16,+50.5%
OOP,Ac9c,桶7:纯空气,None,6.73,9.54,+41.8%
OOP,Ad9d,桶7:纯空气,None,6.73,9.54,+41.8%
OOP,6d6c,桶3:中等成牌,None,7.80,13.22,+69.5%
OOP,6h6c,桶3:中等成牌,None,8.23,13.43,+63.1%
OOP,6h6d,桶3:中等成牌,None,8.23,13.43,+63.1%
OOP,9c8c,桶6:弱听牌,Gutshot,8.44,8.05,-4.6%
OOP,9d8d,桶6:弱听牌,Gutshot,8.44,8.05,-4.6%
OOP,Ah8h,桶6:弱听牌,None,8.71,9.90,+13.7%
OOP,Ah5h,桶6:弱听牌,None,8.72,9.16,+5.0%
OOP,7d7c,桶3:中等成牌,None,9.02,14.50,+60.7%
OOP,7h7c,桶3:中等成牌,None,9.32,14.56,+56.2%
OOP,7h7d,桶3:中等成牌,None,9.32,14.56,+56.2%
OOP,Ah9h,桶6:弱听牌,None,9.36,10.60,+13.2%
OOP,8d8c,桶3:中等成牌,None,10.32,16.96,+64.4%
OOP,8h8c,桶3:中等成牌,None,10.62,17.06,+60.6%
OOP,8h8d,桶3:中等成牌,None,10.62,17.06,+60.6%
OOP,6s6c,桶3:中等成牌,None,10.69,14.79,+38.3%
OOP,6s6d,桶3:中等成牌,None,10.69,14.79,+38.3%
OOP,6s6h,桶3:中等成牌,None,11.05,15.09,+36.6%
OOP,9h8h,桶6:弱听牌,Gutshot,11.14,9.90,-11.1%
OOP,7s7c,桶3:中等成牌,None,11.62,16.38,+41.0%
